15:09:19 [INFO] 🚀 FL1P VPN V2.4 - STRUCTURE & MASSIVE FIX
15:09:19 [INFO]    🔥 Priority Countries: FI, EE, LV, SE
15:09:19 [INFO] 📥 Сбор конфигураций (расширенный)...
15:09:21 [INFO] 
📊 Собрано: 555 глобальных, 1148 WL
15:09:21 [INFO] ⚡ Проверка TCP (347)...
15:09:21 [INFO]    📊 TCP: 34/347 (10%) | ✅8 ❌26
15:09:21 [INFO]    📊 TCP: 68/347 (20%) | ✅30 ❌38
15:09:21 [INFO]    📊 TCP: 102/347 (29%) | ✅50 ❌52
15:09:21 [INFO]    📊 TCP: 136/347 (39%) | ✅73 ❌63
15:09:21 [INFO]    📊 TCP: 170/347 (49%) | ✅100 ❌70
15:09:21 [INFO]    📊 TCP: 204/347 (59%) | ✅123 ❌81
15:09:21 [INFO]    📊 TCP: 238/347 (69%) | ✅144 ❌94
15:09:21 [INFO]    📊 TCP: 272/347 (78%) | ✅169 ❌103
15:09:21 [INFO]    📊 TCP: 306/347 (88%) | ✅203 ❌103
15:09:22 [INFO]    📊 TCP: 340/347 (98%) | ✅211 ❌129
15:09:22 [INFO]    📊 TCP WL: 114/1148 (10%) | ✅6 ❌108
15:09:22 [INFO]    📊 TCP WL: 228/1148 (20%) | ✅69 ❌159
15:09:22 [INFO]    📊 TCP WL: 342/1148 (30%) | ✅71 ❌271
15:09:22 [INFO]    📊 TCP WL: 456/1148 (40%) | ✅74 ❌382
15:09:22 [INFO]    📊 TCP WL: 570/1148 (50%) | ✅75 ❌495
15:09:22 [INFO]    📊 TCP WL: 684/1148 (60%) | ✅76 ❌608
15:09:22 [INFO]    📊 TCP WL: 798/1148 (70%) | ✅79 ❌719
15:09:22 [INFO]    📊 TCP WL: 912/1148 (79%) | ✅81 ❌831
15:09:22 [INFO]    📊 TCP WL: 1026/1148 (89%) | ✅145 ❌881
15:09:23 [INFO]    📊 TCP WL: 1140/1148 (99%) | ✅243 ❌897
15:09:23 [INFO] 
🧪 Глубокая проверка (211 живых)...
15:09:28 [INFO]    🎯 46.32.187.62 (Латвия) - 7.1Mbps, 635ms [WARP]
15:09:29 [INFO]    🎯 178.250.191.18 (Латвия) - 5.0Mbps, 948ms [WARP]
15:09:29 [INFO]    🎯 188.253.23.211 (Латвия) - 4.7Mbps, 679ms [WARP]
15:09:29 [INFO]    🎯 46.32.187.228 (Латвия) - 4.7Mbps, 629ms [WARP]
15:09:29 [INFO]    🎯 188.253.23.234 (Латвия) - 4.6Mbps, 667ms [WARP]
15:09:29 [INFO]    🎯 194.58.34.139 (Латвия) - 4.6Mbps, 701ms [WARP]
15:09:29 [INFO]    🎯 195.135.254.201 (Латвия) - 4.5Mbps, 669ms [WARP]
15:09:30 [INFO]    🎯 188.253.19.164 (Латвия) - 4.5Mbps, 683ms [WARP]
15:09:30 [INFO]    🎯 37.128.207.194 (Латвия) - 4.3Mbps, 634ms [WARP]
15:09:30 [INFO]    🎯 188.253.23.21 (Латвия) - 4.2Mbps, 673ms [WARP]
15:09:30 [INFO]    🎯 195.135.253.29 (Латвия) - 4.4Mbps, 726ms [WARP]
15:09:30 [INFO]    🎯 94.158.219.126 (Латвия) - 4.4Mbps, 737ms [WARP]
15:09:30 [INFO]    🎯 188.253.20.146 (Латвия) - 4.2Mbps, 682ms [WARP]
15:09:30 [INFO]    🎯 45.43.79.121 (Латвия) - 4.4Mbps, 760ms [WARP]
15:09:30 [INFO]    🎯 5.34.208.18 (Латвия) - 4.3Mbps, 598ms [WARP]
15:09:30 [INFO]    🎯 5.34.212.179 (Латвия) - 4.2Mbps, 707ms [WARP]
15:09:30 [INFO]    🎯 192.144.39.33 (Латвия) - 4.4Mbps, 858ms [WARP]
15:09:30 [INFO]    🎯 37.128.204.4 (Латвия) - 4.2Mbps, 841ms [WARP]
15:09:31 [INFO]    🎯 216.173.69.143 (Латвия) - 13.6Mbps, 1877ms [WARP]
15:09:31 [INFO]    🎯 185.242.107.80 (Латвия) - 9.4Mbps, 1830ms [WARP]
15:09:31 [INFO]    📊 Deep: 21/211 (10%) | ✅20 ❌1
15:09:32 [INFO]    🎯 37.128.206.71 (Латвия) - 12.8Mbps, 839ms [WARP]
15:09:32 [INFO]    🎯 91.197.0.100 (Латвия) - 9.6Mbps, 631ms [WARP]
15:09:33 [INFO]    🎯 154.198.173.138 (IN) - 24.1Mbps, 130ms [WARP]
15:09:33 [INFO]    🎯 188.253.23.30 (Латвия) - 10.1Mbps, 752ms [WARP]
15:09:34 [INFO]    🎯 195.123.212.216 (Латвия) - 0.0Mbps, 1640ms [WARP]
15:09:34 [INFO]    🎯 89.116.250.138 (Литва) - 8.3Mbps, 202ms [WARP]
15:09:34 [INFO]    🎯 25.25.25.238 (Британия) - 7.4Mbps, 288ms [WARP]
15:09:34 [INFO]    🎯 25.26.27.238 (Британия) - 7.1Mbps, 310ms [WARP]
15:09:34 [INFO]    🎯 46.32.187.138 (Латвия) - 6.7Mbps, 567ms [WARP]
15:09:34 [INFO]    🎯 185.18.250.238 (Швейцария) - 7.4Mbps, 386ms [WARP]
15:09:35 [INFO]    🎯 188.253.23.98 (Латвия) - 6.9Mbps, 636ms [WARP]
15:09:35 [INFO]    🎯 5.34.214.83 (Латвия) - 6.1Mbps, 584ms [WARP]
15:09:35 [INFO]    🎯 37.128.205.47 (Латвия) - 6.4Mbps, 630ms [WARP]
15:09:35 [INFO]    🎯 91.197.0.63 (Латвия) - 6.5Mbps, 697ms [WARP]
15:09:35 [INFO]    🎯 5.10.245.238 (Нидерланды) - 4.9Mbps, 423ms [WARP]
15:09:35 [INFO]    🎯 185.7.240.238 (Турция) - 5.8Mbps, 490ms [WARP]
15:09:35 [INFO]    🎯 91.197.0.117 (Латвия) - 2.8Mbps, 665ms [WARP]
15:09:36 [INFO]    🎯 89.116.180.138 (Литва) - 9.6Mbps, 460ms [WARP]
15:09:36 [INFO]    🎯 31.128.33.253 (Латвия) - 7.1Mbps, 949ms [WARP]
15:09:36 [INFO]    🎯 185.207.196.238 (MH) - 30.1Mbps, 441ms [WARP]
15:09:36 [INFO]    🎯 45.131.5.238 (Нидерланды) - 10.0Mbps, 480ms [WARP]
15:09:36 [INFO]    📊 Deep: 42/211 (20%) | ✅41 ❌1
15:09:37 [INFO]    🎯 45.85.119.238 (Румыния) - 22.7Mbps, 313ms [WARP]
15:09:37 [INFO]    🎯 45.12.31.138 (Румыния) - 4.5Mbps, 584ms [WARP]
15:09:38 [INFO]    🎯 46.203.233.242 (Германия) - 14.7Mbps, 248ms [WARP]
15:09:38 [INFO]    🎯 5.10.214.238 (Германия) - 17.5Mbps, 271ms [WARP]
15:09:38 [INFO]    🎯 45.135.194.50 (Германия) - 12.7Mbps, 149ms [WARP]
15:09:38 [INFO]    🎯 147.78.140.238 (Болгария) - 13.6Mbps, 474ms [WARP]
15:09:38 [INFO]    🎯 92.246.136.62 (Германия) - 13.6Mbps, 344ms [WARP]
15:09:38 [INFO]    🎯 185.16.110.1 (Франция) - 11.4Mbps, 274ms [WARP]
15:09:39 [INFO]    🎯 91.149.233.78 (Германия) - 14.8Mbps, 312ms [WARP]
15:09:39 [INFO]    🎯 194.9.6.3 (Германия) - 15.4Mbps, 419ms [WARP]
15:09:39 [INFO]    🎯 92.53.191.238 (SI) - 22.5Mbps, 473ms [WARP]
15:09:39 [INFO]    🎯 141.11.203.238 (Франция) - 20.4Mbps, 216ms [WARP]
15:09:40 [INFO]    🎯 185.16.110.0 (Франция) - 22.4Mbps, 320ms [WARP]
15:09:40 [INFO]    🎯 195.245.239.195 (Германия) - 13.1Mbps, 1096ms [WARP]
15:09:40 [INFO]    🎯 154.197.80.238 (Япония) - 16.5Mbps, 260ms [WARP]
15:09:41 [INFO]    🎯 45.12.30.138 (Румыния) - 33.0Mbps, 1432ms [WARP]
15:09:42 [INFO]    🎯 25.129.198.238 (Британия) - 12.6Mbps, 469ms [WARP]
15:09:42 [INFO]    📊 Deep: 63/211 (30%) | ✅58 ❌5
15:09:42 [INFO]    🎯 156.243.246.238 (Германия) - 12.1Mbps, 295ms [WARP]
15:09:42 [INFO]    🎯 178.20.209.70 (Германия) - 11.9Mbps, 1350ms [WARP]
15:09:42 [INFO]    🎯 188.164.158.138 (AM) - 11.4Mbps, 371ms [WARP]
15:09:42 [INFO]    🎯 176.96.138.17 (Германия) - 12.0Mbps, 361ms [WARP]
15:09:42 [INFO]    🎯 194.87.25.176 (Германия) - 2.4Mbps, 606ms [WARP]
15:09:43 [INFO]    🎯 77.75.199.138 (Британия) - 9.8Mbps, 343ms [WARP]
15:09:43 [INFO]    🎯 5.10.247.238 (Нидерланды) - 12.4Mbps, 335ms [WARP]
15:09:43 [INFO]    🎯 5.187.4.103 (Германия) - 15.0Mbps, 1798ms [WARP]
15:09:43 [INFO]    🎯 5.61.41.183 (Германия) - 33.7Mbps, 466ms [WARP]
15:09:44 [INFO]    🎯 25.129.199.238 (Британия) - 31.0Mbps, 172ms [WARP]
15:09:44 [INFO]    🎯 188.241.241.123 (Румыния) - 7.4Mbps, 274ms [WARP]
15:09:45 [INFO]    🎯 185.184.123.93 (Нидерланды) - 34.3Mbps, 99ms [WARP]
15:09:45 [INFO]    🎯 5.175.141.238 (Германия) - 31.2Mbps, 177ms [WARP]
15:09:45 [INFO]    🎯 156.255.123.138 (HK) - 28.8Mbps, 282ms [WARP]
15:09:45 [INFO]    🎯 92.42.96.223 (ME) - 33.9Mbps, 230ms [WARP]
15:09:45 [INFO]    🎯 77.105.163.138 (AM) - 27.4Mbps, 505ms [WARP]
15:09:46 [INFO]    🎯 45.12.30.238 (Румыния) - 22.8Mbps, 154ms [WARP]
15:09:46 [INFO]    🎯 185.158.133.138 (Германия) - 25.1Mbps, 200ms [WARP]
15:09:46 [INFO]    🎯 27.50.49.238 (Сингапур) - 23.9Mbps, 1621ms [WARP]
15:09:46 [INFO]    📊 Deep: 84/211 (40%) | ✅77 ❌7
15:09:47 [INFO]    🎯 202.61.200.220 (Германия) - 29.0Mbps, 305ms [WARP]
15:09:47 [INFO]    🎯 202.61.200.220 (Германия) - 25.5Mbps, 316ms [WARP]
15:09:48 [INFO]    🎯 94.16.117.81 (Германия) - 23.8Mbps, 394ms [WARP]
15:09:49 [INFO]    🎯 80.66.85.115 (Германия) - 15.2Mbps, 1322ms [WARP]
15:09:49 [INFO]    🎯 194.9.6.32 (Германия) - 15.3Mbps, 243ms [WARP]
15:09:49 [INFO]    🎯 146.0.79.109 (Нидерланды) - 15.6Mbps, 136ms [WARP]
15:09:49 [INFO]    🎯 77.110.118.166 (Нидерланды) - 15.2Mbps, 485ms [WARP]
15:09:49 [INFO]    🎯 103.90.75.41 (Нидерланды) - 20.5Mbps, 317ms [WARP]
15:09:49 [INFO]    🎯 154.194.0.190 (SC) - 20.3Mbps, 152ms [WARP]
15:09:49 [INFO]    🎯 80.74.24.127 (Нидерланды) - 16.5Mbps, 352ms [WARP]
15:09:50 [INFO]    🎯 103.137.250.250 (Нидерланды) - 13.4Mbps, 474ms [WARP]
15:09:50 [INFO]    🎯 31.207.45.251 (Нидерланды) - 14.4Mbps, 333ms [WARP]
15:09:51 [INFO]    🎯 103.90.75.121 (Нидерланды) - 11.2Mbps, 319ms [WARP]
15:09:51 [INFO]    🎯 5.253.188.238 (Германия) - 13.0Mbps, 634ms [WARP]
15:09:51 [INFO]    🎯 194.147.149.54 (Нидерланды) - 17.6Mbps, 276ms [WARP]
15:09:51 [INFO]    🎯 195.133.65.202 (Чехия) - 15.3Mbps, 986ms [WARP]
15:09:51 [INFO]    📊 Deep: 105/211 (50%) | ✅93 ❌12
15:09:52 [INFO]    🎯 103.54.18.53 (Нидерланды) - 21.3Mbps, 291ms [WARP]
15:09:52 [INFO]    🎯 202.71.13.242 (Нидерланды) - 24.0Mbps, 314ms [WARP]
15:09:52 [INFO]    🎯 82.153.50.30 (Германия) - 19.9Mbps, 156ms [WARP]
15:09:52 [INFO]    🎯 212.113.116.50 (Германия) - 27.6Mbps, 161ms [WARP]
15:09:53 [INFO]    🎯 212.87.220.225 (Нидерланды) - 39.8Mbps, 442ms [WARP]
15:09:53 [INFO]    🎯 77.239.104.36 (Германия) - 12.0Mbps, 478ms [WARP]
15:09:54 [INFO]    🎯 185.170.153.53 (Нидерланды) - 39.5Mbps, 304ms [WARP]
15:09:54 [INFO]    🎯 2.58.65.28 (Германия) - 0.9Mbps, 545ms [WARP]
15:09:55 [INFO]    🎯 185.120.59.81 (Франция) - 49.4Mbps, 158ms [WARP]
15:09:55 [INFO]    🎯 91.184.242.250 (Нидерланды) - 36.0Mbps, 2378ms [WARP]
15:09:57 [INFO]    🎯 185.170.166.138 (Британия) - 57.1Mbps, 1257ms [WARP]
15:09:57 [INFO]    🎯 185.104.112.163 (Германия) - 13.9Mbps, 890ms [WARP]
15:09:57 [INFO]    🎯 194.28.226.167 (Германия) - 3.0Mbps, 3242ms [WARP]
15:09:59 [INFO]    🎯 185.170.153.186 (Нидерланды) - 2.3Mbps, 1880ms [WARP]
15:09:59 [INFO]    🎯 213.165.37.33 (Нидерланды) - 36.7Mbps, 1913ms [WARP]
15:09:59 [INFO]    📊 Deep: 126/211 (60%) | ✅108 ❌18
15:10:00 [INFO]    🎯 213.21.241.70 (Германия) - 27.3Mbps, 568ms [WARP]
15:10:00 [INFO]    🎯 185.218.137.83 (Германия) - 30.3Mbps, 1977ms [WARP]
15:10:01 [INFO]    🎯 87.236.177.56 (Нидерланды) - 14.8Mbps, 186ms [WARP]
15:10:01 [INFO]    🎯 185.209.162.38 (Нидерланды) - 29.3Mbps, 286ms [WARP]
15:10:02 [INFO]    🎯 109.120.179.99 (Франция) - 3.0Mbps, 2594ms [WARP]
15:10:02 [INFO]    🎯 151.101.9.80 (Бельгия) - 0.0Mbps, 238ms [WARP]
15:10:02 [INFO]    🎯 77.239.104.238 (Германия) - 10.6Mbps, 625ms [WARP]
15:10:03 [INFO]    🎯 89.169.13.12 (Нидерланды) - 10.7Mbps, 3475ms [WARP]
