15:53:38 [INFO] 🚀 FL1P VPN V2.5 - TITAN EDITION
15:53:38 [INFO]    🔥 Priority Countries: FI, EE, LV, SE
15:53:38 [INFO] 📥 Сбор конфигураций (Titan Mode)...
15:53:40 [INFO] 
📊 Найдено ссылок (Raw): 2136
15:53:40 [INFO] 📊 Отфильтровано: 553 глобальных, 1148 WL
15:53:40 [INFO] ⚡ Проверка TCP (345)...
15:53:40 [INFO]    📊 TCP: 34/345 (10%) | ✅5 ❌29
15:53:40 [INFO]    📊 TCP: 68/345 (20%) | ✅24 ❌44
15:53:40 [INFO]    📊 TCP: 102/345 (30%) | ✅43 ❌59
15:53:40 [INFO]    📊 TCP: 136/345 (39%) | ✅70 ❌66
15:53:40 [INFO]    📊 TCP: 170/345 (49%) | ✅98 ❌72
15:53:40 [INFO]    📊 TCP: 204/345 (59%) | ✅124 ❌80
15:53:40 [INFO]    📊 TCP: 238/345 (69%) | ✅143 ❌95
15:53:40 [INFO]    📊 TCP: 272/345 (79%) | ✅169 ❌103
15:53:41 [INFO]    📊 TCP: 306/345 (89%) | ✅203 ❌103
15:53:41 [INFO]    📊 TCP: 340/345 (99%) | ✅206 ❌134
15:53:41 [INFO]    📊 TCP WL: 114/1148 (10%) | ✅7 ❌107
15:53:41 [INFO]    📊 TCP WL: 228/1148 (20%) | ✅25 ❌203
15:53:41 [INFO]    📊 TCP WL: 342/1148 (30%) | ✅44 ❌298
15:53:41 [INFO]    📊 TCP WL: 456/1148 (40%) | ✅66 ❌390
15:53:41 [INFO]    📊 TCP WL: 570/1148 (50%) | ✅90 ❌480
15:53:41 [INFO]    📊 TCP WL: 684/1148 (60%) | ✅107 ❌577
15:53:41 [INFO]    📊 TCP WL: 798/1148 (70%) | ✅123 ❌675
15:53:41 [INFO]    📊 TCP WL: 912/1148 (79%) | ✅141 ❌771
15:53:41 [INFO]    📊 TCP WL: 1026/1148 (89%) | ✅165 ❌861
15:53:42 [INFO]    📊 TCP WL: 1140/1148 (99%) | ✅191 ❌949
15:53:42 [INFO] 
🧪 Глубокая проверка (206 живых)...
15:53:46 [INFO]    🎯 45.43.79.73 (Латвия) - 13.6Mbps, 303ms [Reality]
15:53:47 [INFO]    🎯 46.32.187.62 (Латвия) - 9.1Mbps, 716ms [WARP]
15:53:48 [INFO]    🎯 31.128.33.253 (Латвия) - 6.0Mbps, 799ms [WARP]
15:53:48 [INFO]    🎯 46.32.187.138 (Латвия) - 6.1Mbps, 757ms [WARP]
