16:28:00 [INFO] 🚀 FL1P VPN V3.2 - ULTIMATE (AVENCORES + FIXES)
16:28:00 [INFO]    🔥 Priority Countries: FI, EE, LV, SE
16:28:00 [INFO] 📥 Сбор конфигураций (Titan Mode + AvenCores)...
16:28:03 [INFO] 
📊 Найдено ссылок (Raw): 19227
16:28:03 [INFO] 📊 Отфильтровано: 9790 глобальных, 379 WL
16:28:03 [INFO] ⚡ Проверка TCP (2288)...
16:28:03 [INFO]    📊 TCP: 228/2288 (10%) | ✅114 ❌114
16:28:03 [INFO]    📊 TCP: 456/2288 (20%) | ✅193 ❌263
16:28:03 [INFO]    📊 TCP: 684/2288 (30%) | ✅237 ❌447
16:28:03 [INFO]    📊 TCP: 912/2288 (40%) | ✅289 ❌623
16:28:03 [INFO]    📊 TCP: 1140/2288 (50%) | ✅334 ❌806
16:28:04 [INFO]    📊 TCP: 1368/2288 (60%) | ✅369 ❌999
16:28:04 [INFO]    📊 TCP: 1596/2288 (70%) | ✅385 ❌1211
16:28:04 [INFO]    📊 TCP: 1824/2288 (80%) | ✅425 ❌1399
16:28:04 [INFO]    📊 TCP: 2052/2288 (90%) | ✅487 ❌1565
16:28:05 [INFO]    📊 TCP: 2280/2288 (100%) | ✅531 ❌1749
16:28:05 [INFO]    📊 TCP WL: 37/379 (10%) | ✅1 ❌36
16:28:05 [INFO]    📊 TCP WL: 74/379 (20%) | ✅2 ❌72
16:28:05 [INFO]    📊 TCP WL: 111/379 (29%) | ✅20 ❌91
16:28:05 [INFO]    📊 TCP WL: 148/379 (39%) | ✅39 ❌109
16:28:05 [INFO]    📊 TCP WL: 185/379 (49%) | ✅54 ❌131
16:28:05 [INFO]    📊 TCP WL: 222/379 (59%) | ✅70 ❌152
16:28:05 [INFO]    📊 TCP WL: 259/379 (68%) | ✅89 ❌170
16:28:05 [INFO]    📊 TCP WL: 296/379 (78%) | ✅125 ❌171
16:28:05 [INFO]    📊 TCP WL: 333/379 (88%) | ✅162 ❌171
16:28:06 [INFO]    📊 TCP WL: 370/379 (98%) | ✅189 ❌181
16:28:06 [INFO] 
🧪 Глубокая проверка (531 живых)...
16:28:09 [INFO]    🎯 65.109.179.221 (Финляндия) - 21.5Mbps, 196ms [TCP]
16:28:11 [INFO]    🎯 217.147.15.31 (Латвия) - 7.7Mbps, 586ms [WARP]
16:28:12 [INFO]    🎯 5.34.208.18 (Латвия) - 6.8Mbps, 714ms [WARP]
16:28:12 [INFO]    🎯 94.158.219.126 (Латвия) - 5.6Mbps, 625ms [WARP]
16:28:12 [INFO]    🎯 94.158.218.63 (Латвия) - 5.2Mbps, 312ms [WARP]
16:28:13 [INFO]    🎯 195.135.254.201 (Латвия) - 4.6Mbps, 590ms [WARP]
16:28:13 [INFO]    🎯 91.197.0.100 (Латвия) - 4.2Mbps, 796ms [WARP]
16:28:13 [INFO]    🎯 46.32.187.228 (Латвия) - 4.0Mbps, 382ms [WARP]
16:28:13 [INFO]    🎯 37.128.207.194 (Латвия) - 4.0Mbps, 423ms [WARP]
16:28:14 [INFO]    🎯 94.158.218.48 (Латвия) - 4.0Mbps, 499ms [WARP]
16:28:14 [INFO]    🎯 216.173.69.143 (Латвия) - 3.9Mbps, 449ms [WARP]
16:28:14 [INFO]    🎯 46.32.184.137 (Латвия) - 3.8Mbps, 875ms [WARP]
16:28:14 [INFO]    🎯 31.128.33.253 (Латвия) - 3.8Mbps, 932ms [WARP]
16:28:14 [INFO]    🎯 37.128.206.71 (Латвия) - 3.8Mbps, 548ms [WARP]
16:28:14 [INFO]    🎯 91.197.0.63 (Латвия) - 3.7Mbps, 550ms [WARP]
16:28:14 [INFO]    🎯 45.43.79.121 (Латвия) - 4.1Mbps, 545ms [WARP]
16:28:14 [INFO]    🎯 5.34.212.179 (Латвия) - 3.9Mbps, 674ms [WARP]
16:28:14 [INFO]    🎯 188.253.20.146 (Латвия) - 4.1Mbps, 733ms [WARP]
16:28:15 [INFO]    🎯 5.34.209.105 (Латвия) - 4.2Mbps, 859ms [WARP]
16:28:15 [INFO]    🎯 188.253.23.30 (Латвия) - 4.1Mbps, 988ms [WARP]
16:28:16 [INFO]    🎯 5.34.214.83 (Латвия) - 9.9Mbps, 1675ms [WARP]
