2026-02-18 15:30:05 [INFO] 🚀 START: Smart Selector (Priority: Plain VLESS > Reality, Target: 10)
2026-02-18 15:30:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-18 15:30:07 [INFO] 🔍 Уникальных конфигов собрано: 194
2026-02-18 15:30:07 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-18 15:30:09 [INFO]    [PING OK] DE | VLESS-REALITY | 507ms | Src: BLACK_VLESS_RUS_mobile.txt
2026-02-18 15:30:10 [INFO]    [PING OK] RU | VLESS-REALITY | 585ms | Src: BLACK_VLESS_RUS_mobile.txt
2026-02-18 15:30:11 [INFO]    [PING OK] DE | VLESS-REALITY | 576ms | Src: BLACK_VLESS_RUS_mobile.txt
2026-02-18 15:30:11 [INFO]    [PING OK] TR | VLESS-TCP | 1803ms | Src: BLACK_VLESS_RUS_mobile.txt
2026-02-18 15:30:12 [INFO]    [PING OK] RU | VLESS-REALITY | 643ms | Src: BLACK_VLESS_RUS_mobile.txt
2026-02-18 15:30:12 [INFO]    [PING OK] RU | VLESS-REALITY | 512ms | Src: BLACK_VLESS_RUS_mobile.txt
2026-02-18 15:30:12 [INFO]    [PING OK] DE | VLESS-REALITY | 191ms | Src: BLACK_VLESS_RUS_mobile.txt
2026-02-18 15:30:12 [INFO]    [PING OK] RU | VLESS-REALITY | 1934ms | Src: BLACK_VLESS_RUS_mobile.txt
2026-02-18 15:30:12 [INFO]    [PING OK] IT | VLESS-REALITY | 659ms | Src: BLACK_VLESS_RUS_mobile.txt
2026-02-18 15:30:13 [INFO]    [PING OK] RU | VLESS-REALITY | 823ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:14 [INFO]    [PING OK] RU | VLESS-REALITY | 304ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:14 [INFO]    [PING OK] RU | VLESS-REALITY | 428ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:14 [INFO]    [PING OK] RU | VLESS-REALITY | 582ms | Src: clck.ru
2026-02-18 15:30:14 [INFO]    [PING OK] RU | VLESS-REALITY | 1456ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:14 [INFO]    [PING OK] RU | VLESS-REALITY | 361ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:14 [INFO]    [PING OK] RU | VLESS-REALITY | 308ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:14 [INFO]    [PING OK] RU | VLESS-REALITY | 2031ms | Src: clck.ru
2026-02-18 15:30:14 [INFO]    [PING OK] RU | VLESS-REALITY | 1923ms | Src: clck.ru
2026-02-18 15:30:15 [INFO]    [PING OK] RU | VLESS-REALITY | 304ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:15 [INFO]    [PING OK] RU | VLESS-REALITY | 495ms | Src: clck.ru
2026-02-18 15:30:15 [INFO]    [PING OK] RU | VLESS-REALITY | 346ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:15 [INFO]    [PING OK] RU | VLESS-REALITY | 1088ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:15 [INFO]    [PING OK] RU | VLESS-REALITY | 836ms | Src: clck.ru
2026-02-18 15:30:15 [INFO]    [PING OK] RU | VLESS-REALITY | 1079ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:15 [INFO]    [PING OK] RU | VLESS-REALITY | 1255ms | Src: clck.ru
2026-02-18 15:30:15 [INFO]    [PING OK] RU | VLESS-REALITY | 826ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:16 [INFO]    [PING OK] RU | VLESS-REALITY | 258ms | Src: clck.ru
2026-02-18 15:30:16 [INFO]    [PING OK] RU | VLESS-REALITY | 969ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:16 [INFO]    [PING OK] RU | VLESS-REALITY | 425ms | Src: clck.ru
2026-02-18 15:30:16 [INFO]    [PING OK] RU | VLESS-REALITY | 541ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:16 [INFO]    [PING OK] RU | VLESS-REALITY | 322ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:16 [INFO]    [PING OK] RU | VLESS-REALITY | 3068ms | Src: clck.ru
2026-02-18 15:30:16 [INFO]    [PING OK] RU | VLESS-REALITY | 257ms | Src: clck.ru
2026-02-18 15:30:16 [INFO]    [PING OK] RU | VLESS-REALITY | 252ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:16 [INFO]    [PING OK] RU | VLESS-REALITY | 113ms | Src: Vless-Reality-White-Lists-Rus-Mobile.txt
2026-02-18 15:30:16 [INFO]    [PING OK] RU | VLESS-REALITY | 924ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:16 [INFO]    [PING OK] RU | VLESS-REALITY | 3107ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:17 [INFO]    [PING OK] RU | VLESS-REALITY | 862ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:17 [INFO]    [PING OK] RU | VLESS-REALITY | 1366ms | Src: Vless-Reality-White-Lists-Rus-Mobile.txt
2026-02-18 15:30:17 [INFO]    [PING OK] RU | VLESS-REALITY | 198ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:17 [INFO]    [PING OK] RU | VLESS-REALITY | 402ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:17 [INFO]    [PING OK] RU | VLESS-REALITY | 597ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:17 [INFO]    [PING OK] RU | VLESS-REALITY | 393ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:17 [INFO]    [PING OK] RU | VLESS-REALITY | 204ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:17 [INFO]    [PING OK] RU | VLESS-REALITY | 4056ms | Src: clck.ru
2026-02-18 15:30:17 [INFO]    [PING OK] RU | VLESS-REALITY | 340ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:18 [INFO]    [PING OK] RU | VLESS-REALITY | 296ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:18 [INFO]    [PING OK] RU | VLESS-REALITY | 444ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:18 [INFO]    [PING OK] RU | VLESS-REALITY | 667ms | Src: Vless-Reality-White-Lists-Rus-Mobile.txt
2026-02-18 15:30:18 [INFO]    [PING OK] RU | VLESS-REALITY | 328ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:18 [INFO]    [PING OK] RU | VLESS-REALITY | 388ms | Src: clck.ru
2026-02-18 15:30:18 [INFO]    [PING OK] RU | VLESS-REALITY | 964ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:18 [INFO]    [PING OK] RU | VLESS-REALITY | 3680ms | Src: clck.ru
2026-02-18 15:30:18 [INFO]    [PING OK] RU | VLESS-REALITY | 3203ms | Src: WHITE-CIDR-RU-all.txt
2026-02-18 15:30:19 [INFO]    [PING OK] RU | VLESS-REALITY | 346ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:19 [INFO]    [PING OK] RU | VLESS-REALITY | 3338ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:19 [INFO]    [PING OK] RU | VLESS-REALITY | 133ms | Src: clck.ru
2026-02-18 15:30:19 [INFO]    [PING OK] RU | VLESS-REALITY | 2310ms | Src: clck.ru
2026-02-18 15:30:19 [INFO]    [PING OK] RU | VLESS-REALITY | 2777ms | Src: clck.ru
2026-02-18 15:30:19 [INFO]    [PING OK] RU | VLESS-REALITY | 121ms | Src: clck.ru
2026-02-18 15:30:19 [INFO]    [PING OK] RU | VLESS-REALITY | 178ms | Src: clck.ru
2026-02-18 15:30:19 [INFO]    [PING OK] RU | VLESS-REALITY | 1918ms | Src: Vless-Reality-White-Lists-Rus-Mobile.txt
2026-02-18 15:30:19 [INFO]    [PING OK] RU | VLESS-REALITY | 524ms | Src: WHITE-CIDR-RU-all.txt
2026-02-18 15:30:19 [INFO]    [PING OK] RU | VLESS-REALITY | 1479ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:20 [INFO]    [PING OK] RU | VLESS-REALITY | 1469ms | Src: WHITE-CIDR-RU-all.txt
2026-02-18 15:30:21 [INFO]    [PING OK] RU | VLESS-REALITY | 4649ms | Src: WHITE-CIDR-RU-all.txt
2026-02-18 15:30:21 [INFO]    [PING OK] RU | VLESS-REALITY | 3360ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:21 [INFO]    [PING OK] RU | VLESS-REALITY | 1754ms | Src: WHITE-CIDR-RU-all.txt
2026-02-18 15:30:21 [INFO]    [PING OK] RU | VLESS-REALITY | 3123ms | Src: WHITE-CIDR-RU-all.txt
2026-02-18 15:30:22 [INFO]    [PING OK] RU | VLESS-REALITY | 3320ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:22 [INFO]    [PING OK] RU | VLESS-REALITY | 4602ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:23 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 10 кандидатов (ПРИОРИТЕТ: Простой VLESS)...
2026-02-18 15:30:27 [INFO]    🏆 RU | VLESS-REALITY | Пинг: 178ms | Скор: 8.49 Mbps ⚡⚡ | Src: clck.ru
2026-02-18 15:30:27 [INFO]    🏆 DE | VLESS-REALITY | Пинг: 191ms | Скор: 9.31 Mbps ⚡⚡ | Src: BLACK_VLESS_RUS_mobile.txt
2026-02-18 15:30:27 [INFO]    🏆 DE | VLESS-REALITY | Пинг: 507ms | Скор: 8.84 Mbps ⚡⚡ | Src: BLACK_VLESS_RUS_mobile.txt
2026-02-18 15:30:27 [INFO]    🏆 RU | VLESS-REALITY | Пинг: 113ms | Скор: 8.03 Mbps ⚡⚡ | Src: Vless-Reality-White-Lists-Rus-Mobile.txt
2026-02-18 15:30:27 [INFO]    🏆 RU | VLESS-REALITY | Пинг: 198ms | Скор: 6.59 Mbps ⚡⚡ | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 15:30:28 [INFO]    🏆 IT | VLESS-REALITY | Пинг: 659ms | Скор: 4.87 Mbps ⚡⚡ | Src: BLACK_VLESS_RUS_mobile.txt
2026-02-18 15:30:30 [INFO]    🏆 DE | VLESS-REALITY | Пинг: 576ms | Скор: 2.67 Mbps ⚡ | Src: BLACK_VLESS_RUS_mobile.txt
