2026-02-18 16:10:06 [INFO] 🚀 START: Smart Selector (STRICT: ONLY VLESS+REALITY & WHITE SNI, Target: 10)
2026-02-18 16:10:06 [INFO] 🌐 Загрузка источников и жесткая фильтрация...
2026-02-18 16:10:09 [INFO] 🔍 Найдено серверов VLESS+Reality с белыми SNI: 56
2026-02-18 16:10:09 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-18 16:10:10 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 396ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 16:10:10 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 290ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 16:10:10 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 341ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 16:10:10 [INFO]    [PING OK] IT | VLESS-REALITY | SNI: gmail.com | 616ms | Src: BLACK_VLESS_RUS_mobile.txt
2026-02-18 16:10:10 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 437ms | Src: clck.ru
2026-02-18 16:10:10 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 426ms | Src: be80a76c-6044-417c-9bff-e587f9380d05#ShadowProxy66(1)
2026-02-18 16:10:11 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: ya.ru | 858ms | Src: be80a76c-6044-417c-9bff-e587f9380d05#ShadowProxy66(1)
2026-02-18 16:10:11 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 473ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 16:10:11 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 860ms | Src: clck.ru
2026-02-18 16:10:11 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 1016ms | Src: clck.ru
2026-02-18 16:10:11 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 346ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 16:10:11 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 788ms | Src: clck.ru
2026-02-18 16:10:11 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 1490ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 16:10:11 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 272ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 16:10:11 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 325ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 16:10:11 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 443ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 16:10:11 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 1187ms | Src: clck.ru
2026-02-18 16:10:11 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 1672ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 16:10:12 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 780ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 16:10:12 [INFO]    [PING OK] FR | VLESS-REALITY | SNI: dl.google.com | 826ms | Src: be80a76c-6044-417c-9bff-e587f9380d05#ShadowProxy66(1)
2026-02-18 16:10:12 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 2095ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 16:10:12 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 2230ms | Src: clck.ru
2026-02-18 16:10:12 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 2836ms | Src: clck.ru
2026-02-18 16:10:13 [INFO]    [PING OK] FR | VLESS-REALITY | SNI: analytics.google.com | 1363ms | Src: 214abfe9-791e-44ba-bd8e-0afe298119f6#ShadowProxy66(2)
2026-02-18 16:10:14 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 2998ms | Src: WHITE-CIDR-RU-all.txt
2026-02-18 16:10:14 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 4031ms | Src: clck.ru
2026-02-18 16:10:14 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 4581ms | Src: be80a76c-6044-417c-9bff-e587f9380d05#ShadowProxy66(1)
2026-02-18 16:10:14 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 3777ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 16:10:15 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 3666ms | Src: WHITE-CIDR-RU-all.txt
2026-02-18 16:10:15 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 4106ms | Src: WHITE-CIDR-RU-all.txt
2026-02-18 16:10:16 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 8 кандидатов...
2026-02-18 16:10:19 [INFO]    🏆 RU | VLESS-REALITY | Пинг: 290ms | Скор: 10.45 Mbps ⚡⚡ | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 16:10:19 [INFO]    🏆 RU | VLESS-REALITY | Пинг: 341ms | Скор: 10.01 Mbps ⚡⚡ | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 16:10:19 [INFO]    🏆 RU | VLESS-REALITY | Пинг: 346ms | Скор: 9.72 Mbps ⚡⚡ | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 16:10:19 [INFO]    🏆 FR | VLESS-REALITY | Пинг: 826ms | Скор: 9.69 Mbps ⚡⚡ | Src: be80a76c-6044-417c-9bff-e587f9380d05#ShadowProxy66(1)
2026-02-18 16:10:19 [INFO]    🏆 RU | VLESS-REALITY | Пинг: 325ms | Скор: 8.25 Mbps ⚡⚡ | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
