2026-02-18 16:13:25 [INFO] 🚀 START: Smart Selector (STRICT: ONLY VLESS+REALITY & WHITE SNI, Target: 10)
2026-02-18 16:13:25 [INFO] 🌐 Загрузка источников и жесткая фильтрация...
2026-02-18 16:13:29 [INFO] 🔍 Найдено серверов VLESS+Reality с белыми SNI: 124
2026-02-18 16:13:29 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-18 16:13:31 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: m.vk.com | 369ms | Src: all_valid_proxies.txt
2026-02-18 16:13:31 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 468ms | Src: all_valid_proxies.txt
2026-02-18 16:13:31 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 434ms | Src: all_valid_proxies.txt
2026-02-18 16:13:31 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 408ms | Src: V2RAY_RAW.txt
2026-02-18 16:13:31 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 440ms | Src: all_valid_proxies.txt
2026-02-18 16:13:31 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: ya.ru | 481ms | Src: V2RAY_RAW.txt
2026-02-18 16:13:31 [INFO]    [PING OK] IT | VLESS-REALITY | SNI: gmail.com | 704ms | Src: BLACK_VLESS_RUS_mobile.txt
2026-02-18 16:13:31 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 460ms | Src: all_valid_proxies.txt
2026-02-18 16:13:31 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 464ms | Src: all_valid_proxies.txt
2026-02-18 16:13:31 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 603ms | Src: all_valid_proxies.txt
2026-02-18 16:13:31 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 509ms | Src: all_valid_proxies.txt
2026-02-18 16:13:31 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 436ms | Src: all_valid_proxies.txt
2026-02-18 16:13:31 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 369ms | Src: all_valid_proxies.txt
2026-02-18 16:13:31 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 550ms | Src: all_valid_proxies.txt
2026-02-18 16:13:31 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: ads.x5.ru | 1243ms | Src: all_valid_proxies.txt
2026-02-18 16:13:32 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 1451ms | Src: V2RAY_RAW.txt
2026-02-18 16:13:32 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: ads.x5.ru | 1502ms | Src: all_valid_proxies.txt
2026-02-18 16:13:32 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 1189ms | Src: all_valid_proxies.txt
2026-02-18 16:13:32 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 1229ms | Src: all_valid_proxies.txt
2026-02-18 16:13:32 [INFO]    [PING OK] FI | VLESS-REALITY | SNI: ads.x5.ru | 234ms | Src: V2RAY_RAW.txt
2026-02-18 16:13:32 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 379ms | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 16:13:32 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 1405ms | Src: all_valid_proxies.txt
2026-02-18 16:13:33 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: ads.x5.ru | 904ms | Src: all_valid_proxies.txt
2026-02-18 16:13:33 [INFO]    [PING OK] NL | VLESS-REALITY | SNI: m.ok.ru | 196ms | Src: all_valid_proxies.txt
2026-02-18 16:13:33 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 2268ms | Src: all_valid_proxies.txt
2026-02-18 16:13:33 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: m.vk.com | 153ms | Src: all_valid_proxies.txt
2026-02-18 16:13:34 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: ya.ru | 498ms | Src: all_valid_proxies.txt
2026-02-18 16:13:34 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 2982ms | Src: all_valid_proxies.txt
2026-02-18 16:13:35 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: ads.x5.ru | 4415ms | Src: all_valid_proxies.txt
2026-02-18 16:13:35 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: m.vk.com | 84ms | Src: all_valid_proxies.txt
2026-02-18 16:13:35 [INFO]    [PING OK] DE | VLESS-REALITY | SNI: ya.ru | 302ms | Src: all_valid_proxies.txt
2026-02-18 16:13:35 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 3893ms | Src: WHITE-CIDR-RU-all.txt
2026-02-18 16:13:36 [INFO]    [PING OK] IT | VLESS-REALITY | SNI: ozon.ru | 337ms | Src: all_valid_proxies.txt
2026-02-18 16:13:36 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 4176ms | Src: all_valid_proxies.txt
2026-02-18 16:13:36 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 4564ms | Src: all_valid_proxies.txt
2026-02-18 16:13:36 [INFO]    [PING OK] FR | VLESS-REALITY | SNI: yandex.ru | 2448ms | Src: all_valid_proxies.txt
2026-02-18 16:13:39 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 4993ms | Src: all_valid_proxies.txt
2026-02-18 16:13:41 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 11 кандидатов...
2026-02-18 16:13:44 [INFO]    🏆 RU | VLESS-REALITY | Пинг: 153ms | Скор: 9.55 Mbps ⚡⚡ | Src: all_valid_proxies.txt
2026-02-18 16:13:44 [INFO]    🏆 RU | VLESS-REALITY | Пинг: 84ms | Скор: 9.49 Mbps ⚡⚡ | Src: all_valid_proxies.txt
2026-02-18 16:13:44 [INFO]    🏆 FR | VLESS-REALITY | Пинг: 2448ms | Скор: 10.17 Mbps ⚡⚡ | Src: all_valid_proxies.txt
2026-02-18 16:13:44 [INFO]    🏆 NL | VLESS-REALITY | Пинг: 196ms | Скор: 9.45 Mbps ⚡⚡ | Src: all_valid_proxies.txt
2026-02-18 16:13:44 [INFO]    🏆 RU | VLESS-REALITY | Пинг: 369ms | Скор: 8.89 Mbps ⚡⚡ | Src: all_valid_proxies.txt
2026-02-18 16:13:44 [INFO]    🏆 RU | VLESS-REALITY | Пинг: 369ms | Скор: 7.75 Mbps ⚡⚡ | Src: all_valid_proxies.txt
2026-02-18 16:13:44 [INFO]    🏆 IT | VLESS-REALITY | Пинг: 337ms | Скор: 6.92 Mbps ⚡⚡ | Src: all_valid_proxies.txt
2026-02-18 16:13:45 [INFO]    🏆 RU | VLESS-REALITY | Пинг: 379ms | Скор: 5.31 Mbps ⚡⚡ | Src: Vless-Reality-White-Lists-Rus-Mobile-2.txt
2026-02-18 16:13:48 [INFO]    🏆 DE | VLESS-REALITY | Пинг: 302ms | Скор: 2.05 Mbps ⚡ | Src: all_valid_proxies.txt
2026-02-18 16:13:48 [INFO]    🏆 IT | VLESS-REALITY | Пинг: 704ms | Скор: 0.96 Mbps  | Src: BLACK_VLESS_RUS_mobile.txt
2026-02-18 16:13:48 [INFO] 🇷🇺 Добавлен лучший рабочий RU сервер: 109.107.161.82 со скоростью 9.49 Mbps | Src: all_valid_proxies.txt
2026-02-18 16:13:48 [INFO] 📊 Итого в подписке сохранено: 6 серверов
2026-02-18 16:13:48 [INFO] 💾 Файл успешно сохранен: FL1PVPN
