2026-02-18 16:20:05 [INFO] 🚀 START: Smart Selector (STRICT: ONLY VLESS+REALITY & WHITE SNI, Target: 10)
2026-02-18 16:20:05 [INFO] 🌐 Загрузка источников и жесткая фильтрация...
2026-02-18 16:20:10 [INFO] 🔍 Найдено серверов VLESS+Reality с белыми SNI: 124
2026-02-18 16:20:10 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-18 16:20:12 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 342ms | Src: all_valid_proxies.txt
2026-02-18 16:20:12 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 426ms | Src: all_valid_proxies.txt
2026-02-18 16:20:12 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 440ms | Src: all_valid_proxies.txt
2026-02-18 16:20:12 [INFO]    [PING OK] IT | VLESS-REALITY | SNI: gmail.com | 635ms | Src: BLACK_VLESS_RUS_mobile.txt
2026-02-18 16:20:12 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 495ms | Src: all_valid_proxies.txt
2026-02-18 16:20:12 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 459ms | Src: all_valid_proxies.txt
2026-02-18 16:20:12 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 1036ms | Src: all_valid_proxies.txt
2026-02-18 16:20:12 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 614ms | Src: all_valid_proxies.txt
2026-02-18 16:20:13 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 428ms | Src: all_valid_proxies.txt
2026-02-18 16:20:13 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 381ms | Src: all_valid_proxies.txt
2026-02-18 16:20:13 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 1393ms | Src: all_valid_proxies.txt
2026-02-18 16:20:13 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 1454ms | Src: all_valid_proxies.txt
2026-02-18 16:20:13 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 291ms | Src: all_valid_proxies.txt
2026-02-18 16:20:13 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 360ms | Src: all_valid_proxies.txt
2026-02-18 16:20:13 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 760ms | Src: all_valid_proxies.txt
2026-02-18 16:20:13 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 1669ms | Src: all_valid_proxies.txt
2026-02-18 16:20:13 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: m.vk.com | 188ms | Src: all_valid_proxies.txt
2026-02-18 16:20:14 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 1126ms | Src: all_valid_proxies.txt
2026-02-18 16:20:14 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 2251ms | Src: V2RAY_RAW.txt
