2026-02-18 16:25:17 [INFO] 🚀 START: Smart Selector (STRICT: ONLY VLESS+REALITY & WHITE SNI, Target: 10)
2026-02-18 16:25:17 [INFO] 🌐 Загрузка источников и жесткая фильтрация...
2026-02-18 16:25:21 [INFO] 🔍 Найдено серверов VLESS+Reality с белыми SNI: 124
2026-02-18 16:25:21 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-18 16:25:23 [INFO]    [PING OK] IT | VLESS-REALITY | SNI: gmail.com | 597ms | Src: BLACK_VLESS_RUS_mobile.txt
2026-02-18 16:25:23 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 473ms | Src: all_valid_proxies.txt
2026-02-18 16:25:23 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 404ms | Src: all_valid_proxies.txt
2026-02-18 16:25:23 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 741ms | Src: all_valid_proxies.txt
2026-02-18 16:25:23 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 546ms | Src: all_valid_proxies.txt
2026-02-18 16:25:23 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 587ms | Src: V2RAY_RAW.txt
2026-02-18 16:25:23 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 714ms | Src: all_valid_proxies.txt
2026-02-18 16:25:23 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 886ms | Src: all_valid_proxies.txt
2026-02-18 16:25:23 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 644ms | Src: all_valid_proxies.txt
2026-02-18 16:25:24 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 746ms | Src: all_valid_proxies.txt
2026-02-18 16:25:24 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: ads.x5.ru | 1642ms | Src: all_valid_proxies.txt
2026-02-18 16:25:24 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: ads.x5.ru | 1950ms | Src: all_valid_proxies.txt
2026-02-18 16:25:24 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 600ms | Src: all_valid_proxies.txt
2026-02-18 16:25:24 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 474ms | Src: all_valid_proxies.txt
2026-02-18 16:25:24 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 750ms | Src: all_valid_proxies.txt
2026-02-18 16:25:25 [INFO]    [PING OK] TR | VLESS-REALITY | SNI: yandex.ru | 465ms | Src: all_valid_proxies.txt
2026-02-18 16:25:25 [INFO]    [PING OK] NL | VLESS-REALITY | SNI: m.ok.ru | 240ms | Src: all_valid_proxies.txt
2026-02-18 16:25:25 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 1062ms | Src: WHITE-CIDR-RU-all.txt
2026-02-18 16:25:25 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: m.vk.com | 161ms | Src: all_valid_proxies.txt
2026-02-18 16:25:25 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: m.vk.com | 203ms | Src: all_valid_proxies.txt
2026-02-18 16:25:25 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 2903ms | Src: all_valid_proxies.txt
2026-02-18 16:25:26 [INFO]    [PING OK] IT | VLESS-REALITY | SNI: ozon.ru | 443ms | Src: all_valid_proxies.txt
