2026-02-18 17:00:06 [INFO] 🚀 START: Smart Selector (STRICT: ONLY VLESS+REALITY, ANY SNI, Target: 10)
2026-02-18 17:00:06 [INFO] 🌐 Загрузка источников (отбор только VLESS+Reality)...
2026-02-18 17:00:07 [INFO] 🔍 Найдено серверов VLESS+Reality: 1537
2026-02-18 17:00:07 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-18 17:00:08 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: eh.vk.com | 211ms | Src: raw.githubusercontent.com
2026-02-18 17:00:08 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 324ms | Src: raw.githubusercontent.com
2026-02-18 17:00:08 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 533ms | Src: clck.ru
2026-02-18 17:00:08 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 532ms | Src: clck.ru
2026-02-18 17:00:08 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 448ms | Src: clck.ru
2026-02-18 17:00:08 [INFO]    [PING OK] PL | VLESS-REALITY | SNI: pl-modx.webedg.net | 281ms | Src: raw.githubusercontent.com
2026-02-18 17:00:08 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 756ms | Src: raw.githubusercontent.com
2026-02-18 17:00:09 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 1149ms | Src: raw.githubusercontent.com
2026-02-18 17:00:09 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 1057ms | Src: raw.githubusercontent.com
2026-02-18 17:00:10 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 2043ms | Src: raw.githubusercontent.com
2026-02-18 17:00:10 [INFO]    [PING OK] DE | VLESS-REALITY | SNI: www.ibm.com | 520ms | Src: raw.githubusercontent.com
2026-02-18 17:00:10 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: max.ru | 294ms | Src: raw.githubusercontent.com
2026-02-18 17:00:10 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 1885ms | Src: raw.githubusercontent.com
2026-02-18 17:00:11 [INFO]    [PING OK] DE | VLESS-REALITY | SNI: ads.x5.ru. | 198ms | Src: raw.githubusercontent.com
2026-02-18 17:00:11 [INFO]    [PING OK] TR | VLESS-REALITY | SNI: yandex.ru | 474ms | Src: raw.githubusercontent.com
2026-02-18 17:00:12 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: rutube.ru | 4213ms | Src: raw.githubusercontent.com
2026-02-18 17:00:13 [INFO]    [PING OK] FR | VLESS-REALITY | SNI: dl.google.com | 826ms | Src: raw.githubusercontent.com
2026-02-18 17:00:13 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: m.vk.ru | 327ms | Src: raw.githubusercontent.com
2026-02-18 17:00:14 [INFO]    [PING OK] US | VLESS-REALITY | SNI: apple.com | 477ms | Src: raw.githubusercontent.com
2026-02-18 17:00:14 [INFO]    [PING OK] AE | VLESS-REALITY | SNI: ae.cdn.stun.su | 175ms | Src: raw.githubusercontent.com
2026-02-18 17:00:15 [INFO]    [PING OK] NL | VLESS-REALITY | SNI: m.ok.ru | 202ms | Src: raw.githubusercontent.com
2026-02-18 17:00:15 [INFO]    [PING OK] IQ | VLESS-REALITY | SNI: www.ibm.com | 401ms | Src: raw.githubusercontent.com
2026-02-18 17:00:15 [INFO]    [PING OK] DE | VLESS-REALITY | SNI: google.com | 1107ms | Src: raw.githubusercontent.com
2026-02-18 17:00:17 [INFO]    [PING OK] IN | VLESS-REALITY | SNI: osxapps.itunes.apple.com | 882ms | Src: raw.githubusercontent.com
2026-02-18 17:00:17 [INFO]    [PING OK] DE | VLESS-REALITY | SNI: de.cdn.stun.su | 542ms | Src: raw.githubusercontent.com
2026-02-18 17:00:18 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: m.vk.ru | 867ms | Src: raw.githubusercontent.com
2026-02-18 17:00:18 [INFO]    [PING OK] UZ | VLESS-REALITY | SNI: stats.vk-portal.net | 402ms | Src: raw.githubusercontent.com
2026-02-18 17:00:19 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 327ms | Src: raw.githubusercontent.com
2026-02-18 17:00:20 [INFO]    [PING OK] DE | VLESS-REALITY | SNI: ea.com | 210ms | Src: raw.githubusercontent.com
2026-02-18 17:00:21 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: api-maps.yandex.ru | 1679ms | Src: raw.githubusercontent.com
2026-02-18 17:00:21 [INFO]    [PING OK] NL | VLESS-REALITY | SNI: nl.jojack.ru | 483ms | Src: raw.githubusercontent.com
2026-02-18 17:00:22 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: eh.vk.com | 471ms | Src: raw.githubusercontent.com
2026-02-18 17:00:23 [INFO]    [PING OK] AT | VLESS-REALITY | SNI: one-piece.com | 335ms | Src: raw.githubusercontent.com
2026-02-18 17:00:23 [INFO]    [PING OK] DE | VLESS-REALITY | SNI: google.com | 215ms | Src: raw.githubusercontent.com
