2026-02-21 12:50:06 [INFO] 🚀 START: Smart Selector (Target: 10, Strict Mode, Hybrid Protocol)
2026-02-21 12:50:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-21 12:50:13 [INFO] 🔍 Уникальных конфигов собрано: 3595
2026-02-21 12:50:13 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-21 12:50:19 [INFO]    [PING OK] RU | VLESS | 1355ms
2026-02-21 12:50:19 [INFO]    [PING OK] JP | VLESS | 994ms
2026-02-21 12:50:19 [INFO]    [PING OK] DE | VLESS | 262ms
2026-02-21 12:50:19 [INFO]    [PING OK] FR | VLESS | 1682ms
2026-02-21 12:50:22 [INFO]    [PING OK] RU | VLESS | 195ms
2026-02-21 12:50:23 [INFO]    [PING OK] RU | VLESS | 314ms
2026-02-21 12:50:24 [INFO]    [PING OK] US | VLESS | 676ms
2026-02-21 12:50:24 [INFO]    [PING OK] GB | VLESS | 181ms
2026-02-21 12:50:24 [INFO]    [PING OK] CH | VLESS | 450ms
2026-02-21 12:50:25 [INFO]    [PING OK] RU | VLESS | 328ms
2026-02-21 12:50:25 [INFO]    [PING OK] RU | VLESS | 139ms
2026-02-21 12:50:25 [INFO]    [PING OK] RU | VLESS | 315ms
2026-02-21 12:50:26 [INFO]    [PING OK] RU | VLESS | 739ms
2026-02-21 12:50:26 [INFO]    [PING OK] RU | VLESS | 1154ms
2026-02-21 12:50:26 [INFO]    [PING OK] RU | VLESS | 801ms
2026-02-21 12:50:27 [INFO]    [PING OK] RU | VLESS | 828ms
2026-02-21 12:50:27 [INFO]    [PING OK] RU | VLESS | 687ms
2026-02-21 12:50:27 [INFO]    [PING OK] RU | VLESS | 1925ms
2026-02-21 12:50:27 [INFO]    [PING OK] RU | VLESS | 2348ms
2026-02-21 12:50:27 [INFO]    [PING OK] RU | VLESS | 2369ms
2026-02-21 12:50:27 [INFO]    [PING OK] RU | VLESS | 2210ms
2026-02-21 12:50:28 [INFO]    [PING OK] RU | VLESS | 855ms
2026-02-21 12:50:28 [INFO]    [PING OK] RU | VLESS | 152ms
2026-02-21 12:50:28 [INFO]    [PING OK] RU | VLESS | 175ms
2026-02-21 12:50:29 [INFO]    [PING OK] RU | VLESS | 277ms
2026-02-21 12:50:29 [INFO]    [PING OK] RU | VLESS | 2491ms
2026-02-21 12:50:29 [INFO]    [PING OK] RU | VLESS | 209ms
2026-02-21 12:50:29 [INFO]    [PING OK] RU | VLESS | 2722ms
2026-02-21 12:50:29 [INFO]    [PING OK] RU | VLESS | 960ms
2026-02-21 12:50:29 [INFO]    [PING OK] RU | VLESS | 271ms
2026-02-21 12:50:29 [INFO]    [PING OK] RU | VLESS | 1652ms
2026-02-21 12:50:29 [INFO]    [PING OK] RU | VLESS | 1487ms
2026-02-21 12:50:29 [INFO]    [PING OK] RU | VLESS | 4011ms
2026-02-21 12:50:29 [INFO]    [PING OK] RU | VLESS | 2624ms
2026-02-21 12:50:30 [INFO]    [PING OK] RU | VLESS | 82ms
2026-02-21 12:50:30 [INFO]    [PING OK] RU | VLESS | 387ms
2026-02-21 12:50:30 [INFO]    [PING OK] RU | VLESS | 208ms
2026-02-21 12:50:30 [INFO]    [PING OK] RU | VLESS | 1252ms
2026-02-21 12:50:30 [INFO]    [PING OK] RU | VLESS | 4795ms
2026-02-21 12:50:30 [INFO]    [PING OK] RU | VLESS | 3674ms
2026-02-21 12:50:30 [INFO]    [PING OK] RU | VLESS | 445ms
2026-02-21 12:50:30 [INFO]    [PING OK] RU | VLESS | 2883ms
2026-02-21 12:50:30 [INFO]    [PING OK] RU | VLESS | 208ms
2026-02-21 12:50:30 [INFO]    [PING OK] RU | VLESS | 310ms
2026-02-21 12:50:30 [INFO]    [PING OK] RU | VLESS | 4953ms
2026-02-21 12:50:30 [INFO]    [PING OK] RU | VLESS | 2960ms
2026-02-21 12:50:31 [INFO]    [PING OK] RU | VLESS | 4328ms
2026-02-21 12:50:31 [INFO]    [PING OK] EE | VLESS | 218ms
2026-02-21 12:50:31 [INFO]    [PING OK] RU | VLESS | 295ms
2026-02-21 12:50:31 [INFO]    [PING OK] RU | VLESS | 3332ms
2026-02-21 12:50:31 [INFO]    [PING OK] RU | VLESS | 300ms
2026-02-21 12:50:31 [INFO]    [PING OK] RU | VLESS | 247ms
2026-02-21 12:50:32 [INFO]    [PING OK] RU | VLESS | 239ms
2026-02-21 12:50:32 [INFO]    [PING OK] RU | VLESS | 3432ms
2026-02-21 12:50:32 [INFO]    [PING OK] RU | VLESS | 397ms
2026-02-21 12:50:32 [INFO]    [PING OK] RU | VLESS | 215ms
2026-02-21 12:50:32 [INFO]    [PING OK] RU | VLESS | 725ms
2026-02-21 12:50:32 [INFO]    [PING OK] RU | VLESS | 225ms
2026-02-21 12:50:33 [INFO]    [PING OK] RU | VLESS | 298ms
2026-02-21 12:50:33 [INFO]    [PING OK] EE | VLESS | 422ms
2026-02-21 12:50:33 [INFO]    [PING OK] RU | VLESS | 1057ms
2026-02-21 12:50:33 [INFO]    [PING OK] RU | VLESS | 110ms
2026-02-21 12:50:33 [INFO]    [PING OK] RU | VLESS | 1868ms
