2026-02-21 13:00:06 [INFO] 🚀 START: Smart Selector (Target: 10, Strict Mode, Hybrid Protocol)
2026-02-21 13:00:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-21 13:00:15 [INFO] 🔍 Уникальных конфигов собрано: 3599
2026-02-21 13:00:15 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-21 13:00:19 [INFO]    [PING OK] GB | VLESS | 1744ms
2026-02-21 13:00:19 [INFO]    [PING OK] DE | VLESS | 638ms
2026-02-21 13:00:19 [INFO]    [PING OK] SC | VLESS | 2969ms
2026-02-21 13:00:19 [INFO]    [PING OK] GB | VLESS | 2254ms
2026-02-21 13:00:19 [INFO]    [PING OK] RU | VLESS | 410ms
2026-02-21 13:00:19 [INFO]    [PING OK] LV | VLESS | 308ms
2026-02-21 13:00:22 [INFO]    [PING OK] RU | VLESS | 147ms
2026-02-21 13:00:24 [INFO]    [PING OK] US | VLESS | 1680ms
2026-02-21 13:00:25 [INFO]    [PING OK] CH | VLESS | 246ms
2026-02-21 13:00:26 [INFO]    [PING OK] FR | VLESS | 832ms
2026-02-21 13:00:27 [INFO]    [PING OK] RU | VLESS | 2420ms
2026-02-21 13:00:28 [INFO]    [PING OK] RU | VLESS | 141ms
2026-02-21 13:00:29 [INFO]    [PING OK] RU | VLESS | 525ms
2026-02-21 13:00:29 [INFO]    [PING OK] RU | VLESS | 956ms
2026-02-21 13:00:29 [INFO]    [PING OK] RU | VLESS | 455ms
2026-02-21 13:00:29 [INFO]    [PING OK] RU | VLESS | 157ms
2026-02-21 13:00:30 [INFO]    [PING OK] RU | VLESS | 1197ms
2026-02-21 13:00:30 [INFO]    [PING OK] RU | VLESS | 1846ms
2026-02-21 13:00:30 [INFO]    [PING OK] RU | VLESS | 2293ms
2026-02-21 13:00:30 [INFO]    [PING OK] RU | VLESS | 852ms
2026-02-21 13:00:30 [INFO]    [PING OK] RU | VLESS | 2542ms
2026-02-21 13:00:30 [INFO]    [PING OK] RU | VLESS | 292ms
2026-02-21 13:00:30 [INFO]    [PING OK] RU | VLESS | 915ms
2026-02-21 13:00:30 [INFO]    [PING OK] RU | VLESS | 448ms
2026-02-21 13:00:31 [INFO]    [PING OK] RU | VLESS | 1479ms
2026-02-21 13:00:31 [INFO]    [PING OK] RU | VLESS | 496ms
2026-02-21 13:00:31 [INFO]    [PING OK] RU | VLESS | 250ms
2026-02-21 13:00:31 [INFO]    [PING OK] RU | VLESS | 382ms
2026-02-21 13:00:31 [INFO]    [PING OK] RU | VLESS | 159ms
2026-02-21 13:00:31 [INFO]    [PING OK] RU | VLESS | 295ms
2026-02-21 13:00:32 [INFO]    [PING OK] RU | VLESS | 1215ms
2026-02-21 13:00:32 [INFO]    [PING OK] RU | VLESS | 387ms
2026-02-21 13:00:32 [INFO]    [PING OK] RU | VLESS | 733ms
2026-02-21 13:00:32 [INFO]    [PING OK] RU | VLESS | 3613ms
2026-02-21 13:00:32 [INFO]    [PING OK] RU | VLESS | 3748ms
2026-02-21 13:00:32 [INFO]    [PING OK] RU | VLESS | 478ms
2026-02-21 13:00:32 [INFO]    [PING OK] RU | VLESS | 2353ms
2026-02-21 13:00:33 [INFO]    [PING OK] RU | VLESS | 206ms
2026-02-21 13:00:33 [INFO]    [PING OK] RU | VLESS | 312ms
2026-02-21 13:00:33 [INFO]    [PING OK] RU | VLESS | 1534ms
2026-02-21 13:00:33 [INFO]    [PING OK] RU | VLESS | 324ms
2026-02-21 13:00:33 [INFO]    [PING OK] RU | VLESS | 809ms
2026-02-21 13:00:33 [INFO]    [PING OK] RU | VLESS | 195ms
2026-02-21 13:00:34 [INFO]    [PING OK] EE | VLESS | 1668ms
2026-02-21 13:00:34 [INFO]    [PING OK] RU | VLESS | 3173ms
2026-02-21 13:00:34 [INFO]    [PING OK] RU | VLESS | 296ms
2026-02-21 13:00:34 [INFO]    [PING OK] RU | VLESS | 826ms
2026-02-21 13:00:34 [INFO]    [PING OK] RU | VLESS | 4268ms
2026-02-21 13:00:34 [INFO]    [PING OK] RU | VLESS | 356ms
2026-02-21 13:00:34 [INFO]    [PING OK] RU | VLESS | 1036ms
2026-02-21 13:00:34 [INFO]    [PING OK] RU | VLESS | 2369ms
2026-02-21 13:00:35 [INFO]    [PING OK] RU | VLESS | 1427ms
2026-02-21 13:00:35 [INFO]    [PING OK] RU | VLESS | 85ms
2026-02-21 13:00:35 [INFO]    [PING OK] RU | VLESS | 888ms
2026-02-21 13:00:35 [INFO]    [PING OK] RU | VLESS | 189ms
2026-02-21 13:00:35 [INFO]    [PING OK] RU | VLESS | 4375ms
2026-02-21 13:00:35 [INFO]    [PING OK] RU | VLESS | 119ms
2026-02-21 13:00:35 [INFO]    [PING OK] RU | VLESS | 1017ms
2026-02-21 13:00:36 [INFO]    [PING OK] RU | VLESS | 1436ms
2026-02-21 13:00:36 [INFO]    [PING OK] RU | VLESS | 92ms
2026-02-21 13:00:37 [INFO]    [PING OK] RU | VLESS | 1158ms
2026-02-21 13:00:37 [INFO]    [PING OK] RU | VLESS | 272ms
2026-02-21 13:00:37 [INFO]    [PING OK] RU | VLESS | 688ms
2026-02-21 13:00:37 [INFO]    [PING OK] RU | VLESS | 362ms
2026-02-21 13:00:38 [INFO]    [PING OK] EE | VLESS | 2454ms
2026-02-21 13:00:38 [INFO]    [PING OK] RU | VLESS | 2211ms
2026-02-21 13:00:39 [INFO]    [PING OK] DE | VLESS | 1620ms
2026-02-21 13:00:39 [INFO]    [PING OK] RU | VLESS | 185ms
2026-02-21 13:00:39 [INFO]    [PING OK] RU | VLESS | 142ms
2026-02-21 13:00:39 [INFO]    [PING OK] RU | VLESS | 114ms
2026-02-21 13:00:39 [INFO]    [PING OK] RU | VLESS | 332ms
2026-02-21 13:00:39 [INFO]    [PING OK] RU | VLESS | 157ms
2026-02-21 13:00:39 [INFO]    [PING OK] MD | VLESS | 168ms
2026-02-21 13:00:40 [INFO]    [PING OK] TR | VLESS | 428ms
2026-02-21 13:00:40 [INFO]    [PING OK] JP | VLESS | 415ms
2026-02-21 13:00:40 [INFO]    [PING OK] CY | VLESS | 261ms
2026-02-21 13:00:40 [INFO]    [PING OK] SE | VLESS | 341ms
2026-02-21 13:00:40 [INFO]    [PING OK] CA | VMESS | 691ms
