2026-02-21 13:30:06 [INFO] 🚀 START: Smart Selector (Target: 10, Strict Mode, Hybrid Protocol)
2026-02-21 13:30:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-21 13:30:14 [INFO] 🔍 Уникальных конфигов собрано: 3595
2026-02-21 13:30:14 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-21 13:30:20 [INFO]    [PING OK] CH | VLESS | 1100ms
2026-02-21 13:30:20 [INFO]    [PING OK] JP | VLESS | 991ms
2026-02-21 13:30:20 [INFO]    [PING OK] RU | VLESS | 258ms
2026-02-21 13:30:20 [INFO]    [PING OK] GB | VLESS | 1432ms
2026-02-21 13:30:21 [INFO]    [PING OK] RU | VLESS | 2304ms
2026-02-21 13:30:22 [INFO]    [PING OK] FR | VLESS | 1453ms
2026-02-21 13:30:23 [INFO]    [PING OK] US | VLESS | 731ms
2026-02-21 13:30:23 [INFO]    [PING OK] DE | VLESS | 729ms
2026-02-21 13:30:24 [INFO]    [PING OK] RU | VLESS | 151ms
2026-02-21 13:30:25 [INFO]    [PING OK] DE | VLESS | 176ms
2026-02-21 13:30:26 [INFO]    [PING OK] RU | VLESS | 312ms
2026-02-21 13:30:27 [INFO]    [PING OK] RU | VLESS | 187ms
2026-02-21 13:30:27 [INFO]    [PING OK] RU | VLESS | 180ms
2026-02-21 13:30:27 [INFO]    [PING OK] RU | VLESS | 441ms
2026-02-21 13:30:27 [INFO]    [PING OK] RU | VLESS | 296ms
2026-02-21 13:30:27 [INFO]    [PING OK] RU | VLESS | 249ms
2026-02-21 13:30:27 [INFO]    [PING OK] RU | VLESS | 674ms
2026-02-21 13:30:27 [INFO]    [PING OK] RU | VLESS | 213ms
2026-02-21 13:30:28 [INFO]    [PING OK] RU | VLESS | 245ms
2026-02-21 13:30:28 [INFO]    [PING OK] RU | VLESS | 1817ms
2026-02-21 13:30:28 [INFO]    [PING OK] RU | VLESS | 2071ms
2026-02-21 13:30:28 [INFO]    [PING OK] RU | VLESS | 301ms
2026-02-21 13:30:29 [INFO]    [PING OK] RU | VLESS | 832ms
2026-02-21 13:30:29 [INFO]    [PING OK] RU | VLESS | 2510ms
2026-02-21 13:30:29 [INFO]    [PING OK] LV | VLESS | 4701ms
2026-02-21 13:30:29 [INFO]    [PING OK] RU | VLESS | 197ms
2026-02-21 13:30:29 [INFO]    [PING OK] RU | VLESS | 150ms
2026-02-21 13:30:29 [INFO]    [PING OK] RU | VLESS | 1890ms
2026-02-21 13:30:29 [INFO]    [PING OK] RU | VLESS | 917ms
2026-02-21 13:30:30 [INFO]    [PING OK] RU | VLESS | 1893ms
2026-02-21 13:30:30 [INFO]    [PING OK] RU | VLESS | 1226ms
2026-02-21 13:30:30 [INFO]    [PING OK] RU | VLESS | 1438ms
2026-02-21 13:30:30 [INFO]    [PING OK] RU | VLESS | 973ms
2026-02-21 13:30:30 [INFO]    [PING OK] RU | VLESS | 199ms
2026-02-21 13:30:30 [INFO]    [PING OK] RU | VLESS | 2482ms
2026-02-21 13:30:30 [INFO]    [PING OK] RU | VLESS | 215ms
2026-02-21 13:30:31 [INFO]    [PING OK] RU | VLESS | 228ms
2026-02-21 13:30:31 [INFO]    [PING OK] RU | VLESS | 3254ms
2026-02-21 13:30:31 [INFO]    [PING OK] RU | VLESS | 736ms
2026-02-21 13:30:31 [INFO]    [PING OK] RU | VLESS | 255ms
2026-02-21 13:30:31 [INFO]    [PING OK] RU | VLESS | 938ms
2026-02-21 13:30:31 [INFO]    [PING OK] RU | VLESS | 318ms
2026-02-21 13:30:31 [INFO]    [PING OK] RU | VLESS | 2344ms
2026-02-21 13:30:31 [INFO]    [PING OK] RU | VLESS | 302ms
2026-02-21 13:30:31 [INFO]    [PING OK] RU | VLESS | 113ms
2026-02-21 13:30:32 [INFO]    [PING OK] RU | VLESS | 326ms
2026-02-21 13:30:32 [INFO]    [PING OK] RU | VLESS | 3715ms
2026-02-21 13:30:32 [INFO]    [PING OK] RU | VLESS | 259ms
2026-02-21 13:30:32 [INFO]    [PING OK] RU | VLESS | 250ms
2026-02-21 13:30:32 [INFO]    [PING OK] RU | VLESS | 1205ms
2026-02-21 13:30:32 [INFO]    [PING OK] RU | VLESS | 3026ms
2026-02-21 13:30:32 [INFO]    [PING OK] RU | VLESS | 215ms
2026-02-21 13:30:32 [INFO]    [PING OK] RU | VLESS | 4038ms
2026-02-21 13:30:32 [INFO]    [PING OK] RU | VLESS | 3143ms
2026-02-21 13:30:32 [INFO]    [PING OK] RU | VLESS | 320ms
2026-02-21 13:30:32 [INFO]    [PING OK] RU | VLESS | 600ms
2026-02-21 13:30:33 [INFO]    [PING OK] RU | VLESS | 3541ms
