2026-02-22 04:50:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-22 04:50:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-22 04:50:08 [INFO] 🔍 Уникальных конфигов собрано: 260
2026-02-22 04:50:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-22 04:50:14 [INFO]    [PING OK] ES | VLESS | 4703ms
2026-02-22 04:50:15 [INFO]    [PING OK] PL | VLESS | 4293ms
2026-02-22 04:50:15 [INFO]    [PING OK] DE | VLESS | 5215ms
2026-02-22 04:50:15 [INFO]    [PING OK] PL | VLESS | 4865ms
2026-02-22 04:50:18 [INFO]    [PING OK] IT | VLESS | 3967ms
2026-02-22 04:50:18 [INFO]    [PING OK] ES | VLESS | 3912ms
2026-02-22 04:50:19 [INFO]    [PING OK] TR | VLESS | 3965ms
2026-02-22 04:50:19 [INFO]    [PING OK] PL | VLESS | 4276ms
2026-02-22 04:50:19 [INFO]    [PING OK] PL | VLESS | 4078ms
2026-02-22 04:50:19 [INFO]    [PING OK] HU | VLESS | 3705ms
2026-02-22 04:50:19 [INFO]    [PING OK] EE | VLESS | 4071ms
2026-02-22 04:50:19 [INFO]    [PING OK] DE | VLESS | 4425ms
2026-02-22 04:50:19 [INFO]    [PING OK] TR | VLESS | 4695ms
2026-02-22 04:50:19 [INFO]    [PING OK] ES | VLESS | 3984ms
2026-02-22 04:50:20 [INFO]    [PING OK] ES | VLESS | 3962ms
2026-02-22 04:50:20 [INFO]    [PING OK] PL | VLESS | 4009ms
2026-02-22 04:50:20 [INFO]    [PING OK] HU | VLESS | 4033ms
2026-02-22 04:50:20 [INFO]    [PING OK] PL | VLESS | 3868ms
2026-02-22 04:50:20 [INFO]    [PING OK] ES | VLESS | 4085ms
2026-02-22 04:50:20 [INFO]    [PING OK] US | VLESS | 4173ms
2026-02-22 04:50:20 [INFO]    [PING OK] PL | VLESS | 3365ms
2026-02-22 04:50:20 [INFO]    [PING OK] TR | VLESS | 4185ms
2026-02-22 04:50:20 [INFO]    [PING OK] DE | VLESS | 5114ms
2026-02-22 04:50:21 [INFO]    [PING OK] ES | VLESS | 3587ms
2026-02-22 04:50:21 [INFO]    [PING OK] IT | VLESS | 3300ms
2026-02-22 04:50:21 [INFO]    [PING OK] HU | VLESS | 3452ms
