2026-02-23 01:20:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-23 01:20:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-23 01:20:10 [INFO] 🔍 Уникальных конфигов собрано: 658
2026-02-23 01:20:10 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-23 01:20:17 [INFO]    [PING OK] EE | VLESS | 4077ms
2026-02-23 01:20:17 [INFO]    [PING OK] DE | VLESS | 4713ms
2026-02-23 01:20:18 [INFO]    [PING OK] HU | VLESS | 3317ms
2026-02-23 01:20:20 [INFO]    [PING OK] ES | VLESS | 3767ms
2026-02-23 01:20:20 [INFO]    [PING OK] FR | VLESS | 3794ms
2026-02-23 01:20:21 [INFO]    [PING OK] DE | VLESS | 4339ms
2026-02-23 01:20:21 [INFO]    [PING OK] PL | VLESS | 3922ms
2026-02-23 01:20:21 [INFO]    [PING OK] ES | VLESS | 4360ms
2026-02-23 01:20:21 [INFO]    [PING OK] TR | VLESS | 4292ms
2026-02-23 01:20:21 [INFO]    [PING OK] DE | VLESS | 3676ms
2026-02-23 01:20:21 [INFO]    [PING OK] PL | VLESS | 3749ms
2026-02-23 01:20:21 [INFO]    [PING OK] US | VLESS | 4198ms
2026-02-23 01:20:22 [INFO]    [PING OK] HU | VLESS | 3936ms
2026-02-23 01:20:22 [INFO]    [PING OK] PL | VLESS | 3953ms
2026-02-23 01:20:22 [INFO]    [PING OK] CA | VLESS | 4276ms
2026-02-23 01:20:22 [INFO]    [PING OK] HU | VLESS | 4069ms
2026-02-23 01:20:23 [INFO]    [PING OK] ES | VLESS | 4453ms
2026-02-23 01:20:23 [INFO]    [PING OK] PL | VLESS | 4052ms
2026-02-23 01:20:23 [INFO]    [PING OK] PL | VLESS | 4519ms
2026-02-23 01:20:24 [INFO]    [PING OK] PL | VLESS | 4582ms
2026-02-23 01:20:25 [INFO]    [PING OK] IT | VLESS | 4852ms
2026-02-23 01:20:26 [INFO]    [PING OK] DE | VLESS | 5132ms
2026-02-23 01:20:26 [INFO]    [PING OK] ES | VLESS | 4963ms
2026-02-23 01:20:26 [INFO]    [PING OK] IT | VLESS | 5100ms
2026-02-23 01:20:27 [INFO]    [PING OK] PL | VLESS | 4927ms
2026-02-23 01:20:27 [INFO]    [PING OK] NL | VLESS | 5044ms
2026-02-23 01:20:28 [INFO]    [PING OK] CA | VLESS | 5357ms
2026-02-23 01:20:28 [INFO]    [PING OK] CA | VLESS | 5380ms
2026-02-23 01:20:28 [INFO]    [PING OK] NL | VLESS | 5270ms
2026-02-23 01:20:30 [INFO]    [PING OK] CA | VLESS | 5484ms
2026-02-23 01:20:31 [INFO]    [PING OK] NL | VLESS | 5592ms
2026-02-23 01:20:31 [INFO]    [PING OK] CA | VLESS | 5905ms
2026-02-23 01:20:31 [INFO]    [PING OK] CA | VLESS | 6184ms
2026-02-23 01:20:32 [INFO]    [PING OK] CA | VLESS | 5820ms
2026-02-23 01:20:32 [INFO]    [PING OK] DE | VLESS | 5629ms
