2026-02-23 01:40:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-23 01:40:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-23 01:40:08 [INFO] 🔍 Уникальных конфигов собрано: 655
2026-02-23 01:40:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-23 01:40:15 [INFO]    [PING OK] ES | VLESS | 5016ms
2026-02-23 01:40:16 [INFO]    [PING OK] DE | VLESS | 4277ms
2026-02-23 01:40:16 [INFO]    [PING OK] DE | VLESS | 4168ms
2026-02-23 01:40:16 [INFO]    [PING OK] EE | VLESS | 4036ms
2026-02-23 01:40:17 [INFO]    [PING OK] FR | VLESS | 3772ms
2026-02-23 01:40:17 [INFO]    [PING OK] DE | VLESS | 5437ms
2026-02-23 01:40:19 [INFO]    [PING OK] HU | VLESS | 4630ms
2026-02-23 01:40:19 [INFO]    [PING OK] PL | VLESS | 4597ms
2026-02-23 01:40:19 [INFO]    [PING OK] TR | VLESS | 4718ms
2026-02-23 01:40:19 [INFO]    [PING OK] TR | VLESS | 4720ms
2026-02-23 01:40:20 [INFO]    [PING OK] TR | VLESS | 4849ms
2026-02-23 01:40:20 [INFO]    [PING OK] US | VLESS | 4929ms
2026-02-23 01:40:20 [INFO]    [PING OK] ES | VLESS | 4589ms
2026-02-23 01:40:20 [INFO]    [PING OK] PL | VLESS | 4497ms
2026-02-23 01:40:21 [INFO]    [PING OK] ES | VLESS | 5202ms
2026-02-23 01:40:21 [INFO]    [PING OK] IT | VLESS | 5199ms
2026-02-23 01:40:21 [INFO]    [PING OK] CA | VLESS | 5257ms
2026-02-23 01:40:22 [INFO]    [PING OK] PL | VLESS | 5227ms
2026-02-23 01:40:22 [INFO]    [PING OK] TR | VLESS | 4881ms
2026-02-23 01:40:22 [INFO]    [PING OK] CA | VLESS | 6400ms
2026-02-23 01:40:22 [INFO]    [PING OK] PL | VLESS | 5085ms
2026-02-23 01:40:22 [INFO]    [PING OK] PL | VLESS | 5393ms
2026-02-23 01:40:22 [INFO]    [PING OK] ES | VLESS | 5298ms
2026-02-23 01:40:22 [INFO]    [PING OK] DE | VLESS | 5036ms
2026-02-23 01:40:22 [INFO]    [PING OK] HU | VLESS | 5392ms
2026-02-23 01:40:24 [INFO]    [PING OK] CA | VLESS | 5309ms
2026-02-23 01:40:26 [INFO]    [PING OK] CA | VLESS | 6859ms
2026-02-23 01:40:26 [INFO]    [PING OK] CA | VLESS | 6699ms
2026-02-23 01:40:27 [INFO]    [PING OK] CA | VLESS | 5521ms
2026-02-23 01:40:27 [INFO]    [PING OK] DE | VLESS | 5505ms
2026-02-23 01:40:28 [INFO]    [PING OK] CA | VLESS | 5996ms
2026-02-23 01:40:28 [INFO]    [PING OK] CA | VLESS | 6030ms
2026-02-23 01:40:28 [INFO]    [PING OK] CA | VLESS | 5845ms
2026-02-23 01:40:28 [INFO]    [PING OK] CA | VLESS | 5005ms
2026-02-23 01:40:28 [INFO]    [PING OK] NL | VLESS | 5491ms
2026-02-23 01:40:28 [INFO]    [PING OK] CA | VLESS | 5938ms
2026-02-23 01:40:28 [INFO]    [PING OK] CA | VLESS | 5461ms
2026-02-23 01:40:28 [INFO]    [PING OK] US | VLESS | 6847ms
2026-02-23 01:40:29 [INFO]    [PING OK] CA | VLESS | 5399ms
2026-02-23 01:40:29 [INFO]    [PING OK] CA | VLESS | 5482ms
2026-02-23 01:40:30 [INFO]    [PING OK] CA | VLESS | 5493ms
2026-02-23 01:40:30 [INFO]    [PING OK] CA | VLESS | 5295ms
2026-02-23 01:40:31 [INFO]    [PING OK] DE | VLESS | 4352ms
2026-02-23 01:40:31 [INFO]    [PING OK] GB | VLESS | 4484ms
2026-02-23 01:40:31 [INFO]    [PING OK] CA | VLESS | 4515ms
2026-02-23 01:40:32 [INFO]    [PING OK] CA | VLESS | 4389ms
2026-02-23 01:40:32 [INFO]    [PING OK] DE | VLESS | 4274ms
2026-02-23 01:40:32 [INFO]    [PING OK] CA | VLESS | 9416ms
2026-02-23 01:40:32 [INFO]    [PING OK] CA | VLESS | 4468ms
2026-02-23 01:40:32 [INFO]    [PING OK] CA | VLESS | 4866ms
2026-02-23 01:40:32 [INFO]    [PING OK] CA | VLESS | 9350ms
2026-02-23 01:40:33 [INFO]    [PING OK] NL | VLESS | 4312ms
2026-02-23 01:40:33 [INFO]    [PING OK] FI | VLESS | 4135ms
2026-02-23 01:40:33 [INFO]    [PING OK] CA | VLESS | 4580ms
2026-02-23 01:40:33 [INFO]    [PING OK] CA | VLESS | 5329ms
2026-02-23 01:40:33 [INFO]    [PING OK] CA | VLESS | 4309ms
2026-02-23 01:40:34 [INFO]    [PING OK] CA | VLESS | 4319ms
2026-02-23 01:40:34 [INFO]    [PING OK] FI | VLESS | 4347ms
2026-02-23 01:40:35 [INFO]    [PING OK] CA | VLESS | 4503ms
2026-02-23 01:40:35 [INFO]    [PING OK] DE | VLESS | 4484ms
2026-02-23 01:40:36 [INFO]    [PING OK] CA | VLESS | 4285ms
2026-02-23 01:40:37 [INFO]    [PING OK] CA | VLESS | 5709ms
2026-02-23 01:40:37 [INFO]    [PING OK] CA | VLESS | 5280ms
2026-02-23 01:40:37 [INFO]    [PING OK] NL | VLESS | 4029ms
2026-02-23 01:40:37 [INFO]    [PING OK] PL | VLESS | 3329ms
2026-02-23 01:40:37 [INFO]    [PING OK] CA | VLESS | 4728ms
2026-02-23 01:40:37 [INFO]    [PING OK] US | VLESS | 4774ms
