2026-02-23 04:30:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-23 04:30:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-23 04:30:08 [INFO] 🔍 Уникальных конфигов собрано: 229
2026-02-23 04:30:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-23 04:30:13 [INFO]    [PING OK] CZ | VLESS | 4428ms
2026-02-23 04:30:14 [INFO]    [PING OK] FR | VLESS | 4338ms
2026-02-23 04:30:14 [INFO]    [PING OK] DE | VLESS | 3449ms
2026-02-23 04:30:14 [INFO]    [PING OK] HU | VLESS | 2696ms
2026-02-23 04:30:14 [INFO]    [PING OK] DE | VLESS | 4821ms
2026-02-23 04:30:14 [INFO]    [PING OK] DE | VLESS | 3198ms
2026-02-23 04:30:14 [INFO]    [PING OK] DE | VLESS | 5120ms
2026-02-23 04:30:15 [INFO]    [PING OK] DE | VLESS | 5461ms
2026-02-23 04:30:15 [INFO]    [PING OK] DE | VLESS | 6135ms
2026-02-23 04:30:15 [INFO]    [PING OK] DE | VLESS | 6442ms
2026-02-23 04:30:16 [INFO]    [PING OK] DE | VLESS | 6694ms
2026-02-23 04:30:17 [INFO]    [PING OK] NL | VLESS | 2845ms
2026-02-23 04:30:17 [INFO]    [PING OK] ES | VLESS | 2881ms
2026-02-23 04:30:17 [INFO]    [PING OK] PL | VLESS | 2867ms
2026-02-23 04:30:17 [INFO]    [PING OK] ES | VLESS | 3004ms
2026-02-23 04:30:17 [INFO]    [PING OK] CA | VLESS | 3123ms
2026-02-23 04:30:18 [INFO]    [PING OK] HU | VLESS | 2803ms
2026-02-23 04:30:18 [INFO]    [PING OK] PL | VLESS | 2770ms
2026-02-23 04:30:18 [INFO]    [PING OK] IT | VLESS | 2828ms
2026-02-23 04:30:18 [INFO]    [PING OK] TR | VLESS | 2857ms
2026-02-23 04:30:19 [INFO]    [PING OK] CA | VLESS | 4646ms
2026-02-23 04:30:19 [INFO]    [PING OK] ES | VLESS | 2626ms
2026-02-23 04:30:19 [INFO]    [PING OK] ES | VLESS | 2826ms
2026-02-23 04:30:19 [INFO]    [PING OK] IT | VLESS | 3130ms
2026-02-23 04:30:20 [INFO]    [PING OK] PL | VLESS | 2818ms
2026-02-23 04:30:20 [INFO]    [PING OK] DE | VLESS | 8106ms
2026-02-23 04:30:20 [INFO]    [PING OK] HU | VLESS | 3062ms
2026-02-23 04:30:21 [INFO]    [PING OK] US | VLESS | 6222ms
2026-02-23 04:30:21 [INFO]    [PING OK] ES | VLESS | 3229ms
2026-02-23 04:30:21 [INFO]    [PING OK] TR | VLESS | 3437ms
2026-02-23 04:30:21 [INFO]    [PING OK] ES | VLESS | 3511ms
2026-02-23 04:30:22 [INFO]    [PING OK] PL | VLESS | 3891ms
2026-02-23 04:30:22 [INFO]    [PING OK] PL | VLESS | 3658ms
2026-02-23 04:30:22 [INFO]    [PING OK] PL | VLESS | 3775ms
2026-02-23 04:30:22 [INFO]    [PING OK] HU | VLESS | 3813ms
2026-02-23 04:30:22 [INFO]    [PING OK] TR | VLESS | 3717ms
2026-02-23 04:30:22 [INFO]    [PING OK] PL | VLESS | 3744ms
2026-02-23 04:30:22 [INFO]    [PING OK] HU | VLESS | 3739ms
2026-02-23 04:30:22 [INFO]    [PING OK] PL | VLESS | 3671ms
2026-02-23 04:30:22 [INFO]    [PING OK] PL | VLESS | 3995ms
2026-02-23 04:30:22 [INFO]    [PING OK] DE | VLESS | 3772ms
2026-02-23 04:30:24 [INFO]    [PING OK] CA | VLESS | 4571ms
2026-02-23 04:30:24 [INFO]    [PING OK] CA | VLESS | 4632ms
2026-02-23 04:30:25 [INFO]    [PING OK] BY | VLESS | 4906ms
2026-02-23 04:30:25 [INFO]    [PING OK] CA | VLESS | 5709ms
2026-02-23 04:30:26 [INFO]    [PING OK] CA | VLESS | 5224ms
2026-02-23 04:30:26 [INFO]    [PING OK] CA | VLESS | 5658ms
2026-02-23 04:30:27 [INFO]    [PING OK] CA | VLESS | 8517ms
2026-02-23 04:30:27 [INFO]    [PING OK] CA | VLESS | 5711ms
2026-02-23 04:30:28 [INFO]    [PING OK] CA | VLESS | 5173ms
2026-02-23 04:30:28 [INFO]    [PING OK] DE | VLESS | 5077ms
2026-02-23 04:30:29 [INFO]    [PING OK] CA | VLESS | 6031ms
2026-02-23 04:30:29 [INFO]    [PING OK] CA | VLESS | 4843ms
2026-02-23 04:30:29 [INFO]    [PING OK] CA | VLESS | 5163ms
2026-02-23 04:30:29 [INFO]    [PING OK] CA | VLESS | 4821ms
2026-02-23 04:30:30 [INFO]    [PING OK] CA | VLESS | 5329ms
2026-02-23 04:30:30 [INFO]    [PING OK] CA | VLESS | 4981ms
2026-02-23 04:30:30 [INFO]    [PING OK] CA | VLESS | 4564ms
2026-02-23 04:30:31 [INFO]    [PING OK] CA | VLESS | 8524ms
2026-02-23 04:30:31 [INFO]    [PING OK] DE | VLESS | 4481ms
2026-02-23 04:30:31 [INFO]    [PING OK] CA | VLESS | 5097ms
2026-02-23 04:30:31 [INFO]    [PING OK] CA | VLESS | 4857ms
2026-02-23 04:30:31 [INFO]    [PING OK] CA | VLESS | 5086ms
2026-02-23 04:30:32 [INFO]    [PING OK] CA | VLESS | 5133ms
2026-02-23 04:30:32 [INFO]    [PING OK] CA | VLESS | 4258ms
2026-02-23 04:30:32 [INFO]    [PING OK] CA | VLESS | 3961ms
2026-02-23 04:30:32 [INFO]    [PING OK] CA | VLESS | 4208ms
2026-02-23 04:30:32 [INFO]    [PING OK] CA | VLESS | 4065ms
2026-02-23 04:30:32 [INFO]    [PING OK] DE | VLESS | 2583ms
2026-02-23 04:30:32 [INFO]    [PING OK] CA | VLESS | 5743ms
2026-02-23 04:30:32 [INFO]    [PING OK] CA | VLESS | 3757ms
