2026-02-26 04:40:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-26 04:40:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-26 04:40:07 [INFO] 🔍 Уникальных конфигов собрано: 615
2026-02-26 04:40:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-26 04:40:12 [INFO]    [PING OK] NO | VLESS | 4203ms
2026-02-26 04:40:13 [INFO]    [PING OK] PL | VLESS | 4789ms
2026-02-26 04:40:13 [INFO]    [PING OK] NL | VLESS | 4835ms
2026-02-26 04:40:13 [INFO]    [PING OK] DE | VLESS | 4880ms
2026-02-26 04:40:13 [INFO]    [PING OK] DE | VLESS | 5009ms
2026-02-26 04:40:13 [INFO]    [PING OK] DE | VLESS | 5172ms
2026-02-26 04:40:13 [INFO]    [PING OK] NL | VLESS | 4535ms
2026-02-26 04:40:13 [INFO]    [PING OK] NL | VLESS | 4486ms
2026-02-26 04:40:13 [INFO]    [PING OK] JP | VLESS | 5264ms
2026-02-26 04:40:13 [INFO]    [PING OK] PL | VLESS | 4508ms
2026-02-26 04:40:13 [INFO]    [PING OK] CA | VLESS | 5491ms
2026-02-26 04:40:13 [INFO]    [PING OK] PL | VLESS | 4890ms
2026-02-26 04:40:14 [INFO]    [PING OK] DE | VLESS | 5207ms
2026-02-26 04:40:14 [INFO]    [PING OK] NL | VLESS | 5257ms
2026-02-26 04:40:14 [INFO]    [PING OK] PL | VLESS | 5375ms
2026-02-26 04:40:15 [INFO]    [PING OK] DE | VLESS | 5192ms
2026-02-26 04:40:15 [INFO]    [PING OK] JP | VLESS | 5320ms
2026-02-26 04:40:17 [INFO]    [PING OK] NL | VLESS | 8032ms
2026-02-26 04:40:17 [INFO]    [PING OK] PL | VLESS | 3712ms
2026-02-26 04:40:17 [INFO]    [PING OK] NL | VLESS | 3955ms
2026-02-26 04:40:18 [INFO]    [PING OK] LT | VLESS | 4295ms
2026-02-26 04:40:18 [INFO]    [PING OK] NL | VLESS | 3669ms
2026-02-26 04:40:18 [INFO]    [PING OK] DE | VLESS | 4439ms
2026-02-26 04:40:18 [INFO]    [PING OK] HU | VLESS | 3802ms
2026-02-26 04:40:18 [INFO]    [PING OK] DE | VLESS | 3427ms
2026-02-26 04:40:18 [INFO]    [PING OK] PL | VLESS | 4045ms
2026-02-26 04:40:18 [INFO]    [PING OK] NL | VLESS | 3815ms
2026-02-26 04:40:18 [INFO]    [PING OK] NL | VLESS | 3806ms
2026-02-26 04:40:19 [INFO]    [PING OK] PL | VLESS | 3640ms
2026-02-26 04:40:19 [INFO]    [PING OK] FI | VLESS | 3847ms
2026-02-26 04:40:20 [INFO]    [PING OK] IT | VLESS | 4132ms
2026-02-26 04:40:21 [INFO]    [PING OK] PL | VLESS | 5128ms
2026-02-26 04:40:21 [INFO]    [PING OK] PL | VLESS | 4044ms
2026-02-26 04:40:23 [INFO]    [PING OK] PL | VLESS | 4780ms
2026-02-26 04:40:23 [INFO]    [PING OK] NL | VLESS | 4851ms
2026-02-26 04:40:23 [INFO]    [PING OK] NL | VLESS | 5006ms
2026-02-26 04:40:23 [INFO]    [PING OK] NL | VLESS | 4895ms
2026-02-26 04:40:23 [INFO]    [PING OK] DE | VLESS | 4945ms
2026-02-26 04:40:23 [INFO]    [PING OK] FI | VLESS | 4921ms
2026-02-26 04:40:23 [INFO]    [PING OK] TR | VLESS | 4960ms
