2026-02-26 05:10:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-26 05:10:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-26 05:10:07 [INFO] 🔍 Уникальных конфигов собрано: 617
2026-02-26 05:10:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-26 05:10:12 [INFO]    [PING OK] PL | VLESS | 4487ms
2026-02-26 05:10:12 [INFO]    [PING OK] NL | VLESS | 4401ms
2026-02-26 05:10:12 [INFO]    [PING OK] FI | VLESS | 4477ms
2026-02-26 05:10:12 [INFO]    [PING OK] PL | VLESS | 4520ms
2026-02-26 05:10:12 [INFO]    [PING OK] NL | VLESS | 4421ms
2026-02-26 05:10:13 [INFO]    [PING OK] PL | VLESS | 4582ms
2026-02-26 05:10:13 [INFO]    [PING OK] DE | VLESS | 4360ms
2026-02-26 05:10:13 [INFO]    [PING OK] DE | VLESS | 4696ms
2026-02-26 05:10:13 [INFO]    [PING OK] PL | VLESS | 4636ms
2026-02-26 05:10:13 [INFO]    [PING OK] NL | VLESS | 4515ms
2026-02-26 05:10:13 [INFO]    [PING OK] PL | VLESS | 4657ms
2026-02-26 05:10:13 [INFO]    [PING OK] DE | VLESS | 4424ms
2026-02-26 05:10:14 [INFO]    [PING OK] NL | VLESS | 4515ms
2026-02-26 05:10:14 [INFO]    [PING OK] EE | VLESS | 4398ms
2026-02-26 05:10:14 [INFO]    [PING OK] EE | VLESS | 4340ms
2026-02-26 05:10:14 [INFO]    [PING OK] TR | VLESS | 4470ms
2026-02-26 05:10:15 [INFO]    [PING OK] NL | VLESS | 4564ms
2026-02-26 05:10:15 [INFO]    [PING OK] IT | VLESS | 4986ms
2026-02-26 05:10:16 [INFO]    [PING OK] DE | VLESS | 6941ms
2026-02-26 05:10:16 [INFO]    [PING OK] DE | VLESS | 4738ms
2026-02-26 05:10:16 [INFO]    [PING OK] US | VLESS | 4907ms
2026-02-26 05:10:18 [INFO]    [PING OK] PL | VLESS | 6689ms
2026-02-26 05:10:18 [INFO]    [PING OK] DE | VLESS | 4857ms
2026-02-26 05:10:18 [INFO]    [PING OK] NL | VLESS | 4857ms
2026-02-26 05:10:19 [INFO]    [PING OK] TR | VLESS | 4269ms
2026-02-26 05:10:19 [INFO]    [PING OK] DE | VLESS | 5900ms
2026-02-26 05:10:19 [INFO]    [PING OK] FR | VLESS | 5040ms
2026-02-26 05:10:19 [INFO]    [PING OK] DE | VLESS | 4826ms
2026-02-26 05:10:20 [INFO]    [PING OK] IT | VLESS | 4722ms
2026-02-26 05:10:20 [INFO]    [PING OK] NL | VLESS | 4847ms
2026-02-26 05:10:20 [INFO]    [PING OK] ES | VLESS | 4642ms
2026-02-26 05:10:20 [INFO]    [PING OK] LV | VLESS | 4629ms
2026-02-26 05:10:21 [INFO]    [PING OK] PL | VLESS | 4820ms
2026-02-26 05:10:21 [INFO]    [PING OK] PL | VLESS | 4464ms
2026-02-26 05:10:22 [INFO]    [PING OK] NL | VLESS | 4412ms
2026-02-26 05:10:22 [INFO]    [PING OK] FR | VLESS | 4609ms
2026-02-26 05:10:23 [INFO]    [PING OK] NL | VLESS | 4056ms
2026-02-26 05:10:24 [INFO]    [PING OK] PL | VLESS | 4888ms
2026-02-26 05:10:24 [INFO]    [PING OK] PL | VLESS | 4364ms
2026-02-26 05:10:24 [INFO]    [PING OK] NL | VLESS | 4691ms
2026-02-26 05:10:24 [INFO]    [PING OK] ES | VLESS | 4407ms
2026-02-26 05:10:26 [INFO]    [PING OK] EE | VLESS | 4871ms
2026-02-26 05:10:26 [INFO]    [PING OK] US | VLESS | 4505ms
2026-02-26 05:10:26 [INFO]    [PING OK] NL | VLESS | 4576ms
2026-02-26 05:10:26 [INFO]    [PING OK] NL | VLESS | 4618ms
2026-02-26 05:10:27 [INFO]    [PING OK] TR | VLESS | 4700ms
2026-02-26 05:10:27 [INFO]    [PING OK] NL | VLESS | 4844ms
2026-02-26 05:10:28 [INFO]    [PING OK] PL | VLESS | 4368ms
2026-02-26 05:10:28 [INFO]    [PING OK] FI | VLESS | 4745ms
2026-02-26 05:10:28 [INFO]    [PING OK] NL | VLESS | 4360ms
2026-02-26 05:10:28 [INFO]    [PING OK] NL | VLESS | 4418ms
2026-02-26 05:10:29 [INFO]    [PING OK] NL | VLESS | 4285ms
2026-02-26 05:10:29 [INFO]    [PING OK] NL | VLESS | 4387ms
2026-02-26 05:10:29 [INFO]    [PING OK] PL | VLESS | 4619ms
2026-02-26 05:10:30 [INFO]    [PING OK] LT | VLESS | 4837ms
2026-02-26 05:10:30 [INFO]    [PING OK] DE | VLESS | 5102ms
2026-02-26 05:10:30 [INFO]    [PING OK] ES | VLESS | 4004ms
2026-02-26 05:10:30 [INFO]    [PING OK] DE | VLESS | 4192ms
2026-02-26 05:10:31 [INFO]    [PING OK] PL | VLESS | 4072ms
2026-02-26 05:10:31 [INFO]    [PING OK] NL | VLESS | 4218ms
2026-02-26 05:10:31 [INFO]    [PING OK] PL | VLESS | 4148ms
2026-02-26 05:10:31 [INFO]    [PING OK] PL | VLESS | 6013ms
2026-02-26 05:10:31 [INFO]    [PING OK] NL | VLESS | 3988ms
2026-02-26 05:10:32 [INFO]    [PING OK] NL | VLESS | 3982ms
2026-02-26 05:10:33 [INFO]    [PING OK] FI | VLESS | 3751ms
2026-02-26 05:10:34 [INFO]    [PING OK] US | VLESS | 6543ms
2026-02-26 05:10:34 [INFO]    [PING OK] DE | VLESS | 4328ms
2026-02-26 05:10:34 [INFO]    [PING OK] US | VLESS | 4201ms
2026-02-26 05:10:34 [INFO]    [PING OK] DE | VLESS | 4170ms
2026-02-26 05:10:34 [INFO]    [PING OK] NL | VLESS | 8251ms
2026-02-26 05:10:35 [INFO]    [PING OK] NO | VLESS | 4254ms
2026-02-26 05:10:35 [INFO]    [PING OK] PL | VLESS | 4487ms
2026-02-26 05:10:35 [INFO]    [PING OK] TR | VLESS | 4301ms
2026-02-26 05:10:36 [INFO]    [PING OK] FI | VLESS | 4210ms
2026-02-26 05:10:36 [INFO]    [PING OK] NL | VLESS | 4022ms
2026-02-26 05:10:36 [INFO]    [PING OK] DE | VLESS | 4359ms
2026-02-26 05:10:37 [INFO]    [PING OK] PL | VLESS | 3983ms
2026-02-26 05:10:37 [INFO]    [PING OK] DE | VLESS | 4282ms
2026-02-26 05:10:37 [INFO]    [PING OK] PL | VLESS | 3848ms
2026-02-26 05:10:38 [INFO]    [PING OK] FI | VLESS | 3897ms
2026-02-26 05:10:38 [INFO]    [PING OK] HU | VLESS | 3676ms
2026-02-26 05:10:39 [INFO]    [PING OK] EE | VLESS | 3722ms
2026-02-26 05:10:39 [INFO]    [PING OK] LT | VLESS | 3697ms
2026-02-26 05:10:39 [INFO]    [PING OK] IT | VLESS | 3574ms
2026-02-26 05:10:39 [INFO]    [PING OK] GB | VLESS | 3174ms
2026-02-26 05:10:39 [INFO]    [PING OK] NL | VLESS | 3499ms
2026-02-26 05:10:40 [INFO]    [PING OK] NL | VLESS | 3166ms
2026-02-26 05:10:40 [INFO]    [PING OK] PL | VLESS | 6494ms
2026-02-26 05:10:41 [INFO]    [PING OK] NL | VLESS | 3324ms
2026-02-26 05:10:41 [INFO]    [PING OK] PL | VLESS | 5662ms
2026-02-26 05:10:42 [INFO]    [PING OK] NL | VLESS | 3808ms
2026-02-26 05:10:42 [INFO]    [PING OK] NL | VLESS | 3746ms
2026-02-26 05:10:42 [INFO]    [PING OK] DE | VLESS | 3952ms
2026-02-26 05:10:42 [INFO]    [PING OK] NL | VLESS | 4093ms
2026-02-26 05:10:43 [INFO]    [PING OK] TR | VLESS | 4225ms
2026-02-26 05:10:43 [INFO]    [PING OK] NL | VLESS | 4121ms
2026-02-26 05:10:43 [INFO]    [PING OK] NL | VLESS | 4151ms
2026-02-26 05:10:44 [INFO]    [PING OK] FI | VLESS | 4231ms
2026-02-26 05:10:44 [INFO]    [PING OK] LT | VLESS | 4187ms
2026-02-26 05:10:45 [INFO]    [PING OK] US | VLESS | 4544ms
2026-02-26 05:10:45 [INFO]    [PING OK] CH | VLESS | 4769ms
2026-02-26 05:10:45 [INFO]    [PING OK] DE | VLESS | 4380ms
2026-02-26 05:10:46 [INFO]    [PING OK] NL | VLESS | 4593ms
2026-02-26 05:10:46 [INFO]    [PING OK] PL | VLESS | 4811ms
2026-02-26 05:10:46 [INFO]    [PING OK] NL | VLESS | 4850ms
2026-02-26 05:10:47 [INFO]    [PING OK] FI | VLESS | 4880ms
2026-02-26 05:10:47 [INFO]    [PING OK] SE | VLESS | 4754ms
2026-02-26 05:10:47 [INFO]    [PING OK] DE | VLESS | 4896ms
2026-02-26 05:10:47 [INFO]    [PING OK] DE | VLESS | 5037ms
2026-02-26 05:10:47 [INFO]    [PING OK] DE | VLESS | 4387ms
2026-02-26 05:10:47 [INFO]    [PING OK] FI | VLESS | 5289ms
2026-02-26 05:10:47 [INFO]    [PING OK] KZ | VLESS | 4840ms
2026-02-26 05:10:48 [INFO]    [PING OK] FI | VLESS | 5393ms
2026-02-26 05:10:48 [INFO]    [PING OK] US | VLESS | 5353ms
2026-02-26 05:10:50 [INFO]    [PING OK] ES | VLESS | 5275ms
2026-02-26 05:10:50 [INFO]    [PING OK] KZ | VLESS | 5596ms
2026-02-26 05:10:50 [INFO]    [PING OK] EE | VLESS | 5386ms
2026-02-26 05:10:51 [INFO]    [PING OK] PL | VLESS | 4854ms
2026-02-26 05:10:51 [INFO]    [PING OK] KZ | VLESS | 5114ms
2026-02-26 05:10:51 [INFO]    [PING OK] NL | VLESS | 5412ms
2026-02-26 05:10:51 [INFO]    [PING OK] FI | VLESS | 7203ms
2026-02-26 05:10:52 [INFO]    [PING OK] NL | VLESS | 5619ms
2026-02-26 05:10:52 [INFO]    [PING OK] PL | VLESS | 4921ms
2026-02-26 05:10:52 [INFO]    [PING OK] LV | VLESS | 5155ms
2026-02-26 05:10:52 [INFO]    [PING OK] FI | VLESS | 5162ms
2026-02-26 05:10:53 [INFO]    [PING OK] IT | VLESS | 4987ms
2026-02-26 05:10:53 [INFO]    [PING OK] JP | VLESS | 5024ms
2026-02-26 05:10:53 [INFO]    [PING OK] HU | VLESS | 4920ms
2026-02-26 05:10:53 [INFO]    [PING OK] PL | VLESS | 4813ms
