2026-02-26 05:30:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-26 05:30:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-26 05:30:06 [INFO] 🔍 Уникальных конфигов собрано: 615
2026-02-26 05:30:06 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-26 05:30:12 [INFO]    [PING OK] TR | VLESS | 4786ms
2026-02-26 05:30:12 [INFO]    [PING OK] PL | VLESS | 4590ms
2026-02-26 05:30:12 [INFO]    [PING OK] ES | VLESS | 4640ms
2026-02-26 05:30:12 [INFO]    [PING OK] LT | VLESS | 5035ms
2026-02-26 05:30:12 [INFO]    [PING OK] FI | VLESS | 4843ms
2026-02-26 05:30:12 [INFO]    [PING OK] NL | VLESS | 4585ms
2026-02-26 05:30:12 [INFO]    [PING OK] US | VLESS | 4760ms
2026-02-26 05:30:12 [INFO]    [PING OK] PL | VLESS | 4707ms
2026-02-26 05:30:12 [INFO]    [PING OK] NO | VLESS | 5215ms
2026-02-26 05:30:12 [INFO]    [PING OK] IT | VLESS | 5010ms
2026-02-26 05:30:12 [INFO]    [PING OK] DE | VLESS | 4832ms
2026-02-26 05:30:13 [INFO]    [PING OK] DE | VLESS | 4774ms
2026-02-26 05:30:13 [INFO]    [PING OK] PL | VLESS | 4867ms
2026-02-26 05:30:13 [INFO]    [PING OK] US | VLESS | 4815ms
2026-02-26 05:30:14 [INFO]    [PING OK] NL | VLESS | 4667ms
2026-02-26 05:30:16 [INFO]    [PING OK] DE | VLESS | 3726ms
2026-02-26 05:30:16 [INFO]    [PING OK] ES | VLESS | 3472ms
2026-02-26 05:30:16 [INFO]    [PING OK] DE | VLESS | 4059ms
2026-02-26 05:30:16 [INFO]    [PING OK] DE | VLESS | 3444ms
2026-02-26 05:30:17 [INFO]    [PING OK] PL | VLESS | 3720ms
2026-02-26 05:30:17 [INFO]    [PING OK] NL | VLESS | 3220ms
2026-02-26 05:30:17 [INFO]    [PING OK] IN | VLESS | 3618ms
2026-02-26 05:30:17 [INFO]    [PING OK] DE | VLESS | 3371ms
2026-02-26 05:30:18 [INFO]    [PING OK] PL | VLESS | 3033ms
2026-02-26 05:30:18 [INFO]    [PING OK] DE | VLESS | 3412ms
2026-02-26 05:30:19 [INFO]    [PING OK] PL | VLESS | 5423ms
2026-02-26 05:30:21 [INFO]    [PING OK] NL | VLESS | 4076ms
2026-02-26 05:30:22 [INFO]    [PING OK] DE | VLESS | 4537ms
2026-02-26 05:30:22 [INFO]    [PING OK] IT | VLESS | 4233ms
2026-02-26 05:30:22 [INFO]    [PING OK] NL | VLESS | 4446ms
2026-02-26 05:30:22 [INFO]    [PING OK] PL | VLESS | 4350ms
2026-02-26 05:30:22 [INFO]    [PING OK] DE | VLESS | 4418ms
2026-02-26 05:30:22 [INFO]    [PING OK] DE | VLESS | 4905ms
2026-02-26 05:30:22 [INFO]    [PING OK] FI | VLESS | 3911ms
2026-02-26 05:30:22 [INFO]    [PING OK] PL | VLESS | 4414ms
2026-02-26 05:30:23 [INFO]    [PING OK] PL | VLESS | 4420ms
2026-02-26 05:30:23 [INFO]    [PING OK] PL | VLESS | 4116ms
2026-02-26 05:30:24 [INFO]    [PING OK] FI | VLESS | 4244ms
2026-02-26 05:30:24 [INFO]    [PING OK] SE | VLESS | 4070ms
2026-02-26 05:30:24 [INFO]    [PING OK] US | VLESS | 4256ms
2026-02-26 05:30:24 [INFO]    [PING OK] NL | VLESS | 4798ms
2026-02-26 05:30:24 [INFO]    [PING OK] DE | VLESS | 4263ms
