2026-02-26 07:50:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-26 07:50:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-26 07:50:07 [INFO] 🔍 Уникальных конфигов собрано: 410
2026-02-26 07:50:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-26 07:50:12 [INFO]    [PING OK] HU | VLESS | 4229ms
2026-02-26 07:50:12 [INFO]    [PING OK] DE | VLESS | 4191ms
2026-02-26 07:50:12 [INFO]    [PING OK] PL | VLESS | 4425ms
2026-02-26 07:50:12 [INFO]    [PING OK] DE | VLESS | 4133ms
2026-02-26 07:50:13 [INFO]    [PING OK] CA | VLESS | 4296ms
2026-02-26 07:50:13 [INFO]    [PING OK] NL | VLESS | 4421ms
2026-02-26 07:50:13 [INFO]    [PING OK] DE | VLESS | 4250ms
2026-02-26 07:50:13 [INFO]    [PING OK] CH | VLESS | 4309ms
2026-02-26 07:50:13 [INFO]    [PING OK] FI | VLESS | 4971ms
2026-02-26 07:50:13 [INFO]    [PING OK] FI | VLESS | 3657ms
2026-02-26 07:50:13 [INFO]    [PING OK] NL | VLESS | 3893ms
2026-02-26 07:50:13 [INFO]    [PING OK] PL | VLESS | 3918ms
2026-02-26 07:50:13 [INFO]    [PING OK] LT | VLESS | 4332ms
2026-02-26 07:50:13 [INFO]    [PING OK] LT | VLESS | 3801ms
2026-02-26 07:50:13 [INFO]    [PING OK] NL | VLESS | 4072ms
2026-02-26 07:50:13 [INFO]    [PING OK] DE | VLESS | 3720ms
2026-02-26 07:50:13 [INFO]    [PING OK] PL | VLESS | 3415ms
2026-02-26 07:50:14 [INFO]    [PING OK] NL | VLESS | 3402ms
2026-02-26 07:50:14 [INFO]    [PING OK] DE | VLESS | 6326ms
2026-02-26 07:50:14 [INFO]    [PING OK] US | VLESS | 4509ms
2026-02-26 07:50:15 [INFO]    [PING OK] HU | VLESS | 3298ms
2026-02-26 07:50:15 [INFO]    [PING OK] LT | VLESS | 3813ms
