2026-02-27 01:30:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 01:30:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 01:30:07 [INFO] 🔍 Уникальных конфигов собрано: 190
2026-02-27 01:30:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 01:30:12 [INFO]    [PING OK] SE | VLESS | 4835ms
2026-02-27 01:30:13 [INFO]    [PING OK] DE | VLESS | 4761ms
2026-02-27 01:30:13 [INFO]    [PING OK] FI | VLESS | 4853ms
2026-02-27 01:30:13 [INFO]    [PING OK] FI | VLESS | 5082ms
2026-02-27 01:30:13 [INFO]    [PING OK] PL | VLESS | 4915ms
2026-02-27 01:30:13 [INFO]    [PING OK] FR | VLESS | 4746ms
2026-02-27 01:30:13 [INFO]    [PING OK] CA | VLESS | 5105ms
2026-02-27 01:30:13 [INFO]    [PING OK] FR | VLESS | 5115ms
2026-02-27 01:30:13 [INFO]    [PING OK] DE | VLESS | 5073ms
2026-02-27 01:30:13 [INFO]    [PING OK] DE | VLESS | 4855ms
2026-02-27 01:30:13 [INFO]    [PING OK] FI | VLESS | 4729ms
2026-02-27 01:30:13 [INFO]    [PING OK] LT | VLESS | 5668ms
2026-02-27 01:30:13 [INFO]    [PING OK] DE | VLESS | 4908ms
2026-02-27 01:30:14 [INFO]    [PING OK] DE | VLESS | 5011ms
2026-02-27 01:30:14 [INFO]    [PING OK] EE | VLESS | 4675ms
2026-02-27 01:30:14 [INFO]    [PING OK] PL | VLESS | 5440ms
2026-02-27 01:30:14 [INFO]    [PING OK] NL | VLESS | 4497ms
2026-02-27 01:30:14 [INFO]    [PING OK] NL | VLESS | 5232ms
2026-02-27 01:30:14 [INFO]    [PING OK] US | VLESS | 6061ms
2026-02-27 01:30:14 [INFO]    [PING OK] PL | VLESS | 4662ms
2026-02-27 01:30:14 [INFO]    [PING OK] DE | VLESS | 4360ms
2026-02-27 01:30:14 [INFO]    [PING OK] ES | VLESS | 4580ms
2026-02-27 01:30:14 [INFO]    [PING OK] FI | VLESS | 4500ms
2026-02-27 01:30:14 [INFO]    [PING OK] FI | VLESS | 4416ms
2026-02-27 01:30:15 [INFO]    [PING OK] LV | VLESS | 4595ms
2026-02-27 01:30:15 [INFO]    [PING OK] DE | VLESS | 4446ms
2026-02-27 01:30:15 [INFO]    [PING OK] NL | VLESS | 5008ms
2026-02-27 01:30:16 [INFO]    [PING OK] DE | VLESS | 5014ms
2026-02-27 01:30:19 [INFO]    [PING OK] FI | VLESS | 5171ms
2026-02-27 01:30:19 [INFO]    [PING OK] FI | VLESS | 5199ms
2026-02-27 01:30:19 [INFO]    [PING OK] IT | VLESS | 5413ms
2026-02-27 01:30:19 [INFO]    [PING OK] PL | VLESS | 5130ms
2026-02-27 01:30:19 [INFO]    [PING OK] DE | VLESS | 5236ms
2026-02-27 01:30:19 [INFO]    [PING OK] FI | VLESS | 4998ms
2026-02-27 01:30:19 [INFO]    [PING OK] US | VLESS | 5464ms
2026-02-27 01:30:19 [INFO]    [PING OK] DE | VLESS | 5125ms
2026-02-27 01:30:20 [INFO]    [PING OK] IT | VLESS | 4365ms
2026-02-27 01:30:20 [INFO]    [PING OK] HK | VLESS | 5149ms
2026-02-27 01:30:20 [INFO]    [PING OK] IT | VLESS | 4281ms
2026-02-27 01:30:20 [INFO]    [PING OK] PL | VLESS | 4006ms
