2026-02-27 06:20:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 06:20:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 06:20:07 [INFO] 🔍 Уникальных конфигов собрано: 429
2026-02-27 06:20:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 06:20:12 [INFO]    [PING OK] CH | VLESS | 4423ms
2026-02-27 06:20:12 [INFO]    [PING OK] CA | VLESS | 4590ms
2026-02-27 06:20:12 [INFO]    [PING OK] FI | VLESS | 4371ms
2026-02-27 06:20:12 [INFO]    [PING OK] FI | VLESS | 4639ms
2026-02-27 06:20:12 [INFO]    [PING OK] TR | VLESS | 4511ms
2026-02-27 06:20:12 [INFO]    [PING OK] PL | VLESS | 4617ms
2026-02-27 06:20:12 [INFO]    [PING OK] NL | VLESS | 4604ms
2026-02-27 06:20:12 [INFO]    [PING OK] NL | VLESS | 4512ms
2026-02-27 06:20:12 [INFO]    [PING OK] PL | VLESS | 4611ms
2026-02-27 06:20:12 [INFO]    [PING OK] CH | VLESS | 4494ms
2026-02-27 06:20:12 [INFO]    [PING OK] FI | VLESS | 4707ms
2026-02-27 06:20:12 [INFO]    [PING OK] PL | VLESS | 4508ms
2026-02-27 06:20:12 [INFO]    [PING OK] FI | VLESS | 4771ms
2026-02-27 06:20:12 [INFO]    [PING OK] PL | VLESS | 4702ms
2026-02-27 06:20:13 [INFO]    [PING OK] NL | VLESS | 4549ms
2026-02-27 06:20:13 [INFO]    [PING OK] CA | VLESS | 4834ms
2026-02-27 06:20:13 [INFO]    [PING OK] FI | VLESS | 4609ms
2026-02-27 06:20:13 [INFO]    [PING OK] PL | VLESS | 4838ms
2026-02-27 06:20:13 [INFO]    [PING OK] TR | VLESS | 4716ms
2026-02-27 06:20:13 [INFO]    [PING OK] FI | VLESS | 4566ms
2026-02-27 06:20:13 [INFO]    [PING OK] NL | VLESS | 4354ms
2026-02-27 06:20:13 [INFO]    [PING OK] FI | VLESS | 4712ms
2026-02-27 06:20:14 [INFO]    [PING OK] DE | VLESS | 4250ms
2026-02-27 06:20:14 [INFO]    [PING OK] HU | VLESS | 4230ms
2026-02-27 06:20:14 [INFO]    [PING OK] PL | VLESS | 4235ms
2026-02-27 06:20:14 [INFO]    [PING OK] NL | VLESS | 4276ms
2026-02-27 06:20:14 [INFO]    [PING OK] HU | VLESS | 4242ms
2026-02-27 06:20:14 [INFO]    [PING OK] NL | VLESS | 4556ms
2026-02-27 06:20:15 [INFO]    [PING OK] NL | VLESS | 5726ms
2026-02-27 06:20:15 [INFO]    [PING OK] US | VLESS | 4829ms
2026-02-27 06:20:17 [INFO]    [PING OK] US | VLESS | 7524ms
2026-02-27 06:20:17 [INFO]    [PING OK] DE | VLESS | 8294ms
2026-02-27 06:20:17 [INFO]    [PING OK] PL | VLESS | 4031ms
2026-02-27 06:20:17 [INFO]    [PING OK] FI | VLESS | 4060ms
2026-02-27 06:20:17 [INFO]    [PING OK] EE | VLESS | 3505ms
2026-02-27 06:20:17 [INFO]    [PING OK] NL | VLESS | 3900ms
2026-02-27 06:20:17 [INFO]    [PING OK] DE | VLESS | 4373ms
2026-02-27 06:20:17 [INFO]    [PING OK] FI | VLESS | 3616ms
2026-02-27 06:20:17 [INFO]    [PING OK] LT | VLESS | 3964ms
2026-02-27 06:20:17 [INFO]    [PING OK] NL | VLESS | 4119ms
2026-02-27 06:20:18 [INFO]    [PING OK] DE | VLESS | 3546ms
2026-02-27 06:20:18 [INFO]    [PING OK] NL | VLESS | 3750ms
2026-02-27 06:20:18 [INFO]    [PING OK] FR | VLESS | 3925ms
2026-02-27 06:20:18 [INFO]    [PING OK] NL | VLESS | 9005ms
2026-02-27 06:20:18 [INFO]    [PING OK] FI | VLESS | 4370ms
2026-02-27 06:20:18 [INFO]    [PING OK] US | VLESS | 4496ms
2026-02-27 06:20:18 [INFO]    [PING OK] JP | VLESS | 4255ms
