2026-02-27 06:40:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 06:40:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 06:40:07 [INFO] 🔍 Уникальных конфигов собрано: 428
2026-02-27 06:40:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 06:40:13 [INFO]    [PING OK] NL | VLESS | 4665ms
2026-02-27 06:40:13 [INFO]    [PING OK] CA | VLESS | 4634ms
2026-02-27 06:40:13 [INFO]    [PING OK] FI | VLESS | 4644ms
2026-02-27 06:40:13 [INFO]    [PING OK] ES | VLESS | 4790ms
2026-02-27 06:40:13 [INFO]    [PING OK] US | VLESS | 4644ms
2026-02-27 06:40:14 [INFO]    [PING OK] LT | VLESS | 4440ms
2026-02-27 06:40:14 [INFO]    [PING OK] HU | VLESS | 5095ms
2026-02-27 06:40:14 [INFO]    [PING OK] PL | VLESS | 3833ms
2026-02-27 06:40:14 [INFO]    [PING OK] NL | VLESS | 5106ms
2026-02-27 06:40:14 [INFO]    [PING OK] DE | VLESS | 4328ms
2026-02-27 06:40:14 [INFO]    [PING OK] FI | VLESS | 4087ms
2026-02-27 06:40:14 [INFO]    [PING OK] PL | VLESS | 3702ms
2026-02-27 06:40:14 [INFO]    [PING OK] DE | VLESS | 4003ms
2026-02-27 06:40:14 [INFO]    [PING OK] FI | VLESS | 4973ms
2026-02-27 06:40:14 [INFO]    [PING OK] TR | VLESS | 3863ms
2026-02-27 06:40:14 [INFO]    [PING OK] NO | VLESS | 4586ms
2026-02-27 06:40:15 [INFO]    [PING OK] IN | VLESS | 4117ms
2026-02-27 06:40:15 [INFO]    [PING OK] NG | VLESS | 6207ms
2026-02-27 06:40:16 [INFO]    [PING OK] FI | VLESS | 3295ms
2026-02-27 06:40:16 [INFO]    [PING OK] KZ | VLESS | 6554ms
2026-02-27 06:40:16 [INFO]    [PING OK] PL | VLESS | 3693ms
2026-02-27 06:40:18 [INFO]    [PING OK] CA | VLESS | 3825ms
2026-02-27 06:40:18 [INFO]    [PING OK] FI | VLESS | 3868ms
2026-02-27 06:40:18 [INFO]    [PING OK] PL | VLESS | 4125ms
2026-02-27 06:40:18 [INFO]    [PING OK] IT | VLESS | 4106ms
2026-02-27 06:40:18 [INFO]    [PING OK] FI | VLESS | 4190ms
2026-02-27 06:40:19 [INFO]    [PING OK] US | VLESS | 4449ms
2026-02-27 06:40:19 [INFO]    [PING OK] PL | VLESS | 4205ms
2026-02-27 06:40:19 [INFO]    [PING OK] TR | VLESS | 4349ms
2026-02-27 06:40:19 [INFO]    [PING OK] DE | VLESS | 4306ms
2026-02-27 06:40:19 [INFO]    [PING OK] DE | VLESS | 4489ms
2026-02-27 06:40:20 [INFO]    [PING OK] CH | VLESS | 3916ms
2026-02-27 06:40:20 [INFO]    [PING OK] NL | VLESS | 4422ms
2026-02-27 06:40:20 [INFO]    [PING OK] DE | VLESS | 4614ms
2026-02-27 06:40:20 [INFO]    [PING OK] ES | VLESS | 4425ms
2026-02-27 06:40:20 [INFO]    [PING OK] FI | VLESS | 5338ms
2026-02-27 06:40:20 [INFO]    [PING OK] PL | VLESS | 4562ms
2026-02-27 06:40:21 [INFO]    [PING OK] DE | VLESS | 4626ms
2026-02-27 06:40:22 [INFO]    [PING OK] CZ | VLESS | 4521ms
2026-02-27 06:40:23 [INFO]    [PING OK] FI | VLESS | 5147ms
2026-02-27 06:40:23 [INFO]    [PING OK] LV | VLESS | 4789ms
2026-02-27 06:40:24 [INFO]    [PING OK] HK | VLESS | 4711ms
2026-02-27 06:40:24 [INFO]    [PING OK] LV | VLESS | 4393ms
2026-02-27 06:40:24 [INFO]    [PING OK] LT | VLESS | 4707ms
2026-02-27 06:40:24 [INFO]    [PING OK] DE | VLESS | 4417ms
2026-02-27 06:40:24 [INFO]    [PING OK] NL | VLESS | 4320ms
2026-02-27 06:40:24 [INFO]    [PING OK] ES | VLESS | 4603ms
2026-02-27 06:40:24 [INFO]    [PING OK] FI | VLESS | 4549ms
2026-02-27 06:40:24 [INFO]    [PING OK] PL | VLESS | 4208ms
2026-02-27 06:40:24 [INFO]    [PING OK] DE | VLESS | 4096ms
2026-02-27 06:40:25 [INFO]    [PING OK] LT | VLESS | 4072ms
2026-02-27 06:40:25 [INFO]    [PING OK] PL | VLESS | 3955ms
2026-02-27 06:40:26 [INFO]    [PING OK] US | VLESS | 5555ms
2026-02-27 06:40:26 [INFO]    [PING OK] NL | VLESS | 4175ms
2026-02-27 06:40:26 [INFO]    [PING OK] TR | VLESS | 4329ms
2026-02-27 06:40:26 [INFO]    [PING OK] FR | VLESS | 4260ms
2026-02-27 06:40:26 [INFO]    [PING OK] US | VLESS | 4189ms
2026-02-27 06:40:26 [INFO]    [PING OK] HU | VLESS | 4299ms
2026-02-27 06:40:26 [INFO]    [PING OK] PL | VLESS | 4006ms
2026-02-27 06:40:27 [INFO]    [PING OK] TR | VLESS | 4343ms
2026-02-27 06:40:27 [INFO]    [PING OK] FI | VLESS | 4004ms
2026-02-27 06:40:28 [INFO]    [PING OK] DE | VLESS | 5910ms
2026-02-27 06:40:28 [INFO]    [PING OK] DE | VLESS | 3989ms
2026-02-27 06:40:28 [INFO]    [PING OK] US | VLESS | 4042ms
2026-02-27 06:40:29 [INFO]    [PING OK] HU | VLESS | 3840ms
2026-02-27 06:40:29 [INFO]    [PING OK] PL | VLESS | 3770ms
2026-02-27 06:40:29 [INFO]    [PING OK] DE | VLESS | 4137ms
2026-02-27 06:40:29 [INFO]    [PING OK] US | VLESS | 4069ms
2026-02-27 06:40:29 [INFO]    [PING OK] NL | VLESS | 3478ms
2026-02-27 06:40:29 [INFO]    [PING OK] CA | VLESS | 3761ms
2026-02-27 06:40:30 [INFO]    [PING OK] SE | VLESS | 4078ms
2026-02-27 06:40:30 [INFO]    [PING OK] JP | VLESS | 4172ms
2026-02-27 06:40:30 [INFO]    [PING OK] HU | VLESS | 3574ms
2026-02-27 06:40:31 [INFO]    [PING OK] NL | VLESS | 3687ms
2026-02-27 06:40:31 [INFO]    [PING OK] FR | VLESS | 3869ms
2026-02-27 06:40:31 [INFO]    [PING OK] DE | VLESS | 3643ms
2026-02-27 06:40:31 [INFO]    [PING OK] JP | VLESS | 3875ms
2026-02-27 06:40:31 [INFO]    [PING OK] DE | VLESS | 3748ms
2026-02-27 06:40:33 [INFO]    [PING OK] PL | VLESS | 4094ms
2026-02-27 06:40:33 [INFO]    [PING OK] ES | VLESS | 4029ms
2026-02-27 06:40:33 [INFO]    [PING OK] FR | VLESS | 4812ms
2026-02-27 06:40:33 [INFO]    [PING OK] PL | VLESS | 3581ms
2026-02-27 06:40:33 [INFO]    [PING OK] IT | VLESS | 3630ms
