2026-02-27 06:50:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 06:50:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 06:50:07 [INFO] 🔍 Уникальных конфигов собрано: 428
2026-02-27 06:50:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 06:50:12 [INFO]    [PING OK] IT | VLESS | 4151ms
2026-02-27 06:50:12 [INFO]    [PING OK] NL | VLESS | 4214ms
2026-02-27 06:50:12 [INFO]    [PING OK] DE | VLESS | 3993ms
2026-02-27 06:50:12 [INFO]    [PING OK] TR | VLESS | 3939ms
2026-02-27 06:50:12 [INFO]    [PING OK] FI | VLESS | 4007ms
2026-02-27 06:50:12 [INFO]    [PING OK] DE | VLESS | 4126ms
2026-02-27 06:50:12 [INFO]    [PING OK] HU | VLESS | 4104ms
2026-02-27 06:50:13 [INFO]    [PING OK] PL | VLESS | 4507ms
2026-02-27 06:50:13 [INFO]    [PING OK] FI | VLESS | 4564ms
2026-02-27 06:50:13 [INFO]    [PING OK] PL | VLESS | 4715ms
2026-02-27 06:50:13 [INFO]    [PING OK] TR | VLESS | 4719ms
2026-02-27 06:50:13 [INFO]    [PING OK] PL | VLESS | 4320ms
2026-02-27 06:50:13 [INFO]    [PING OK] TR | VLESS | 4198ms
2026-02-27 06:50:13 [INFO]    [PING OK] PL | VLESS | 4573ms
2026-02-27 06:50:13 [INFO]    [PING OK] US | VLESS | 3921ms
2026-02-27 06:50:14 [INFO]    [PING OK] JP | VLESS | 4314ms
2026-02-27 06:50:14 [INFO]    [PING OK] NL | VLESS | 3915ms
2026-02-27 06:50:14 [INFO]    [PING OK] NL | VLESS | 4501ms
2026-02-27 06:50:14 [INFO]    [PING OK] NL | VLESS | 4258ms
2026-02-27 06:50:14 [INFO]    [PING OK] CH | VLESS | 4013ms
2026-02-27 06:50:14 [INFO]    [PING OK] FI | VLESS | 4024ms
2026-02-27 06:50:14 [INFO]    [PING OK] FI | VLESS | 4364ms
2026-02-27 06:50:14 [INFO]    [PING OK] FI | VLESS | 4508ms
2026-02-27 06:50:14 [INFO]    [PING OK] DE | VLESS | 4137ms
2026-02-27 06:50:15 [INFO]    [PING OK] US | VLESS | 3849ms
2026-02-27 06:50:15 [INFO]    [PING OK] LT | VLESS | 5757ms
2026-02-27 06:50:15 [INFO]    [PING OK] NL | VLESS | 4332ms
2026-02-27 06:50:17 [INFO]    [PING OK] HU | VLESS | 4349ms
2026-02-27 06:50:18 [INFO]    [PING OK] DE | VLESS | 4410ms
2026-02-27 06:50:18 [INFO]    [PING OK] NL | VLESS | 4466ms
2026-02-27 06:50:18 [INFO]    [PING OK] NL | VLESS | 4387ms
2026-02-27 06:50:18 [INFO]    [PING OK] LT | VLESS | 4316ms
2026-02-27 06:50:18 [INFO]    [PING OK] LT | VLESS | 4489ms
2026-02-27 06:50:18 [INFO]    [PING OK] FI | VLESS | 4516ms
2026-02-27 06:50:18 [INFO]    [PING OK] TR | VLESS | 4337ms
2026-02-27 06:50:18 [INFO]    [PING OK] ES | VLESS | 4162ms
2026-02-27 06:50:18 [INFO]    [PING OK] LT | VLESS | 3936ms
2026-02-27 06:50:18 [INFO]    [PING OK] DE | VLESS | 3972ms
2026-02-27 06:50:19 [INFO]    [PING OK] PL | VLESS | 4046ms
2026-02-27 06:50:19 [INFO]    [PING OK] NL | VLESS | 3409ms
2026-02-27 06:50:19 [INFO]    [PING OK] PL | VLESS | 3878ms
2026-02-27 06:50:20 [INFO]    [PING OK] NL | VLESS | 3815ms
2026-02-27 06:50:21 [INFO]    [PING OK] DE | VLESS | 5707ms
2026-02-27 06:50:21 [INFO]    [PING OK] PL | VLESS | 3920ms
2026-02-27 06:50:21 [INFO]    [PING OK] FI | VLESS | 4192ms
2026-02-27 06:50:21 [INFO]    [PING OK] CH | VLESS | 3961ms
2026-02-27 06:50:21 [INFO]    [PING OK] FR | VLESS | 4107ms
2026-02-27 06:50:21 [INFO]    [PING OK] JP | VLESS | 4507ms
2026-02-27 06:50:22 [INFO]    [PING OK] TR | VLESS | 4658ms
2026-02-27 06:50:23 [INFO]    [PING OK] PL | VLESS | 4576ms
