2026-02-27 07:00:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 07:00:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 07:00:07 [INFO] 🔍 Уникальных конфигов собрано: 429
2026-02-27 07:00:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 07:00:13 [INFO]    [PING OK] DE | VLESS | 4559ms
2026-02-27 07:00:13 [INFO]    [PING OK] PL | VLESS | 4842ms
2026-02-27 07:00:13 [INFO]    [PING OK] JP | VLESS | 4717ms
2026-02-27 07:00:13 [INFO]    [PING OK] DE | VLESS | 4592ms
2026-02-27 07:00:13 [INFO]    [PING OK] FI | VLESS | 4478ms
2026-02-27 07:00:13 [INFO]    [PING OK] FI | VLESS | 4895ms
2026-02-27 07:00:13 [INFO]    [PING OK] DE | VLESS | 4736ms
2026-02-27 07:00:13 [INFO]    [PING OK] FR | VLESS | 4319ms
2026-02-27 07:00:14 [INFO]    [PING OK] FI | VLESS | 4587ms
2026-02-27 07:00:14 [INFO]    [PING OK] LT | VLESS | 4718ms
2026-02-27 07:00:14 [INFO]    [PING OK] HU | VLESS | 4581ms
2026-02-27 07:00:14 [INFO]    [PING OK] HU | VLESS | 4799ms
2026-02-27 07:00:14 [INFO]    [PING OK] TR | VLESS | 4246ms
2026-02-27 07:00:14 [INFO]    [PING OK] NL | VLESS | 5485ms
2026-02-27 07:00:14 [INFO]    [PING OK] FI | VLESS | 5560ms
2026-02-27 07:00:14 [INFO]    [PING OK] LT | VLESS | 4559ms
2026-02-27 07:00:14 [INFO]    [PING OK] DE | VLESS | 4729ms
2026-02-27 07:00:14 [INFO]    [PING OK] DE | VLESS | 5440ms
2026-02-27 07:00:14 [INFO]    [PING OK] TR | VLESS | 4592ms
2026-02-27 07:00:15 [INFO]    [PING OK] PL | VLESS | 4355ms
2026-02-27 07:00:15 [INFO]    [PING OK] DE | VLESS | 5519ms
2026-02-27 07:00:15 [INFO]    [PING OK] DE | VLESS | 5639ms
2026-02-27 07:00:16 [INFO]    [PING OK] PL | VLESS | 3820ms
2026-02-27 07:00:16 [INFO]    [PING OK] JP | VLESS | 4391ms
2026-02-27 07:00:16 [INFO]    [PING OK] FI | VLESS | 4139ms
2026-02-27 07:00:16 [INFO]    [PING OK] HU | VLESS | 4542ms
2026-02-27 07:00:18 [INFO]    [PING OK] FI | VLESS | 4175ms
2026-02-27 07:00:18 [INFO]    [PING OK] NL | VLESS | 4606ms
2026-02-27 07:00:19 [INFO]    [PING OK] FI | VLESS | 4325ms
2026-02-27 07:00:19 [INFO]    [PING OK] PL | VLESS | 4486ms
2026-02-27 07:00:19 [INFO]    [PING OK] LT | VLESS | 4107ms
2026-02-27 07:00:19 [INFO]    [PING OK] FI | VLESS | 3987ms
2026-02-27 07:00:19 [INFO]    [PING OK] DE | VLESS | 4523ms
2026-02-27 07:00:19 [INFO]    [PING OK] DE | VLESS | 5137ms
2026-02-27 07:00:19 [INFO]    [PING OK] NL | VLESS | 4025ms
2026-02-27 07:00:19 [INFO]    [PING OK] FI | VLESS | 3900ms
2026-02-27 07:00:20 [INFO]    [PING OK] FI | VLESS | 3852ms
2026-02-27 07:00:20 [INFO]    [PING OK] DE | VLESS | 4163ms
2026-02-27 07:00:21 [INFO]    [PING OK] FI | VLESS | 5897ms
2026-02-27 07:00:21 [INFO]    [PING OK] CH | VLESS | 4136ms
2026-02-27 07:00:21 [INFO]    [PING OK] NL | VLESS | 3640ms
