2026-02-27 15:00:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 15:00:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 15:00:07 [INFO] 🔍 Уникальных конфигов собрано: 457
2026-02-27 15:00:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 15:00:13 [INFO]    [PING OK] FI | VLESS | 4772ms
2026-02-27 15:00:13 [INFO]    [PING OK] NL | VLESS | 5101ms
2026-02-27 15:00:13 [INFO]    [PING OK] LV | VLESS | 5048ms
2026-02-27 15:00:13 [INFO]    [PING OK] FI | VLESS | 5085ms
2026-02-27 15:00:13 [INFO]    [PING OK] FI | VLESS | 4924ms
2026-02-27 15:00:13 [INFO]    [PING OK] FI | VLESS | 4914ms
2026-02-27 15:00:14 [INFO]    [PING OK] LT | VLESS | 5161ms
2026-02-27 15:00:14 [INFO]    [PING OK] KZ | VLESS | 5021ms
2026-02-27 15:00:14 [INFO]    [PING OK] DE | VLESS | 5515ms
2026-02-27 15:00:14 [INFO]    [PING OK] ES | VLESS | 3880ms
2026-02-27 15:00:14 [INFO]    [PING OK] PL | VLESS | 4004ms
2026-02-27 15:00:15 [INFO]    [PING OK] ES | VLESS | 5679ms
2026-02-27 15:00:15 [INFO]    [PING OK] PL | VLESS | 6822ms
2026-02-27 15:00:15 [INFO]    [PING OK] FI | VLESS | 3976ms
2026-02-27 15:00:15 [INFO]    [PING OK] CA | VLESS | 4130ms
2026-02-27 15:00:16 [INFO]    [PING OK] FI | VLESS | 5964ms
2026-02-27 15:00:18 [INFO]    [PING OK] DE | VLESS | 8396ms
2026-02-27 15:00:18 [INFO]    [PING OK] PL | VLESS | 4506ms
2026-02-27 15:00:18 [INFO]    [PING OK] PL | VLESS | 4711ms
2026-02-27 15:00:18 [INFO]    [PING OK] PL | VLESS | 3955ms
2026-02-27 15:00:19 [INFO]    [PING OK] DE | VLESS | 4482ms
2026-02-27 15:00:19 [INFO]    [PING OK] DE | VLESS | 4048ms
2026-02-27 15:00:19 [INFO]    [PING OK] US | VLESS | 4716ms
2026-02-27 15:00:19 [INFO]    [PING OK] DE | VLESS | 4099ms
2026-02-27 15:00:19 [INFO]    [PING OK] FI | VLESS | 4377ms
2026-02-27 15:00:19 [INFO]    [PING OK] NL | VLESS | 3629ms
2026-02-27 15:00:19 [INFO]    [PING OK] TR | VLESS | 3665ms
2026-02-27 15:00:20 [INFO]    [PING OK] DE | VLESS | 4438ms
2026-02-27 15:00:20 [INFO]    [PING OK] DE | VLESS | 6057ms
2026-02-27 15:00:20 [INFO]    [PING OK] NL | VLESS | 4204ms
2026-02-27 15:00:23 [INFO]    [PING OK] US | VLESS | 4186ms
2026-02-27 15:00:23 [INFO]    [PING OK] NL | VLESS | 3921ms
2026-02-27 15:00:24 [INFO]    [PING OK] FR | VLESS | 4058ms
2026-02-27 15:00:24 [INFO]    [PING OK] PL | VLESS | 4256ms
2026-02-27 15:00:24 [INFO]    [PING OK] NL | VLESS | 3951ms
2026-02-27 15:00:24 [INFO]    [PING OK] JP | VLESS | 4607ms
2026-02-27 15:00:24 [INFO]    [PING OK] NL | VLESS | 3978ms
2026-02-27 15:00:25 [INFO]    [PING OK] HU | VLESS | 4717ms
2026-02-27 15:00:25 [INFO]    [PING OK] ES | VLESS | 4268ms
2026-02-27 15:00:25 [INFO]    [PING OK] FI | VLESS | 4265ms
2026-02-27 15:00:25 [INFO]    [PING OK] DE | VLESS | 4219ms
2026-02-27 15:00:27 [INFO]    [PING OK] NG | VLESS | 4298ms
2026-02-27 15:00:28 [INFO]    [PING OK] US | VLESS | 4150ms
2026-02-27 15:00:28 [INFO]    [PING OK] NL | VLESS | 4191ms
2026-02-27 15:00:28 [INFO]    [PING OK] FI | VLESS | 4238ms
2026-02-27 15:00:28 [INFO]    [PING OK] LT | VLESS | 4230ms
2026-02-27 15:00:29 [INFO]    [PING OK] NL | VLESS | 4309ms
2026-02-27 15:00:29 [INFO]    [PING OK] FI | VLESS | 3705ms
2026-02-27 15:00:29 [INFO]    [PING OK] EE | VLESS | 3678ms
2026-02-27 15:00:29 [INFO]    [PING OK] DE | VLESS | 3625ms
2026-02-27 15:00:30 [INFO]    [PING OK] PL | VLESS | 5850ms
2026-02-27 15:00:30 [INFO]    [PING OK] US | VLESS | 3764ms
2026-02-27 15:00:31 [INFO]    [PING OK] NL | VLESS | 3669ms
2026-02-27 15:00:31 [INFO]    [PING OK] NO | VLESS | 7042ms
2026-02-27 15:00:33 [INFO]    [PING OK] DE | VLESS | 3768ms
2026-02-27 15:00:33 [INFO]    [PING OK] PL | VLESS | 3687ms
2026-02-27 15:00:33 [INFO]    [PING OK] IT | VLESS | 3291ms
2026-02-27 15:00:33 [INFO]    [PING OK] CA | VLESS | 3781ms
2026-02-27 15:00:33 [INFO]    [PING OK] ES | VLESS | 4148ms
2026-02-27 15:00:33 [INFO]    [PING OK] PL | VLESS | 3213ms
2026-02-27 15:00:33 [INFO]    [PING OK] ES | VLESS | 3626ms
2026-02-27 15:00:33 [INFO]    [PING OK] TR | VLESS | 3449ms
2026-02-27 15:00:33 [INFO]    [PING OK] PL | VLESS | 3173ms
2026-02-27 15:00:34 [INFO]    [PING OK] DE | VLESS | 3244ms
2026-02-27 15:00:35 [INFO]    [PING OK] TR | VLESS | 3166ms
2026-02-27 15:00:35 [INFO]    [PING OK] GB | VLESS | 3297ms
2026-02-27 15:00:35 [INFO]    [PING OK] KZ | VLESS | 3037ms
2026-02-27 15:00:35 [INFO]    [PING OK] FI | VLESS | 2942ms
2026-02-27 15:00:37 [INFO]    [PING OK] DE | VLESS | 8763ms
2026-02-27 15:00:37 [INFO]    [PING OK] FI | VLESS | 7471ms
2026-02-27 15:00:37 [INFO]    [PING OK] PL | VLESS | 3836ms
2026-02-27 15:00:37 [INFO]    [PING OK] HU | VLESS | 3643ms
2026-02-27 15:00:37 [INFO]    [PING OK] US | VLESS | 3585ms
2026-02-27 15:00:38 [INFO]    [PING OK] HU | VLESS | 4149ms
2026-02-27 15:00:38 [INFO]    [PING OK] HU | VLESS | 3768ms
2026-02-27 15:00:38 [INFO]    [PING OK] HU | VLESS | 4087ms
2026-02-27 15:00:38 [INFO]    [PING OK] HU | VLESS | 3926ms
2026-02-27 15:00:39 [INFO]    [PING OK] GB | VLESS | 4324ms
2026-02-27 15:00:39 [INFO]    [PING OK] PL | VLESS | 7823ms
2026-02-27 15:00:39 [INFO]    [PING OK] DE | VLESS | 4217ms
2026-02-27 15:00:40 [INFO]    [PING OK] EE | VLESS | 4862ms
2026-02-27 15:00:40 [INFO]    [PING OK] FI | VLESS | 4622ms
2026-02-27 15:00:40 [INFO]    [PING OK] FI | VLESS | 4674ms
2026-02-27 15:00:40 [INFO]    [PING OK] SE | VLESS | 4094ms
2026-02-27 15:00:40 [INFO]    [PING OK] TR | VLESS | 4276ms
2026-02-27 15:00:40 [INFO]    [PING OK] DE | VLESS | 8589ms
2026-02-27 15:00:40 [INFO]    [PING OK] HU | VLESS | 4104ms
2026-02-27 15:00:41 [INFO]    [PING OK] FR | VLESS | 4370ms
2026-02-27 15:00:41 [INFO]    [PING OK] EE | VLESS | 3809ms
2026-02-27 15:00:41 [INFO]    [PING OK] JP | VLESS | 3927ms
2026-02-27 15:00:42 [INFO]    [PING OK] PL | VLESS | 4033ms
2026-02-27 15:00:42 [INFO]    [PING OK] US | VLESS | 4255ms
2026-02-27 15:00:42 [INFO]    [PING OK] PL | VLESS | 4961ms
2026-02-27 15:00:42 [INFO]    [PING OK] PL | VLESS | 4188ms
2026-02-27 15:00:43 [INFO]    [PING OK] NL | VLESS | 4048ms
2026-02-27 15:00:43 [INFO]    [PING OK] KZ | VLESS | 4084ms
2026-02-27 15:00:44 [INFO]    [PING OK] US | VLESS | 4482ms
